min_products,kept_categories,model,micro,macro
5,24,Gemini 3.1 Pro,0.6540106951871658,0.6326777933395581
5,24,Qwen 3.5 397B,0.6299465240641712,0.6113562091503267
5,24,MMRF (cosine),0.574331550802139,0.5726657329598507
5,24,MMRF (L2),0.5705882352941176,0.5704170557111734
5,24,Ridge,0.5791443850267379,0.5370759414877062
5,24,Bradley-Terry,0.6101604278074866,0.5669623404917522
5,24,Hierarchical BT,0.6133689839572193,0.5580084811702458
5,24,Kernel RankSVM,0.6176470588235294,0.587011749144102
5,24,LightGBM,0.5577540106951872,0.5320417055711174
5,24,NNLS (BT+Gemini),0.6828877005347593,0.6409352629940865
5,24,Rank avg.,0.6705882352941176,0.6292794895736072
5,24,Mean,0.6229946524064172,0.5954248366013072
6,21,Gemini 3.1 Pro,0.6591160220994475,0.6516317638166377
6,21,Qwen 3.5 397B,0.6359116022099448,0.6344070961718019
6,21,MMRF (cosine),0.574585635359116,0.5735227424303053
6,21,MMRF (L2),0.5723756906077349,0.5780956827175314
6,21,Ridge,0.5861878453038674,0.5614201236049976
6,21,Bradley-Terry,0.6149171270718232,0.5812902938953359
6,21,Hierarchical BT,0.618232044198895,0.5710573118136144
6,21,Kernel RankSVM,0.6226519337016575,0.6042039037837357
6,21,LightGBM,0.5640883977900553,0.555666711128896
6,21,NNLS (BT+Gemini),0.6889502762430939,0.6610688719932418
6,21,Rank avg.,0.6762430939226519,0.6477479880841225
6,21,Mean,0.623756906077348,0.5947712418300655
7,20,Gemini 3.1 Pro,0.6623595505617977,0.6608800186741363
7,20,Qwen 3.5 397B,0.6376404494382022,0.6394607843137254
7,20,MMRF (cosine),0.5775280898876405,0.5821988795518206
7,20,MMRF (L2),0.5752808988764045,0.587000466853408
7,20,Ridge,0.5882022471910112,0.5661577964519141
7,20,Bradley-Terry,0.6230337078651685,0.603688141923436
7,20,Hierarchical BT,0.6230337078651685,0.5829435107376284
7,20,Kernel RankSVM,0.6275280898876404,0.6177474323062558
7,20,LightGBM,0.5623595505617978,0.5501167133520075
7,20,NNLS (BT+Gemini),0.6938202247191011,0.6741223155929039
7,20,Rank avg.,0.6825842696629213,0.6651353874883286
7,20,Mean,0.6297752808988764,0.6111764705882353
8,18,Gemini 3.1 Pro,0.6621462264150944,0.6602370577860773
8,18,Qwen 3.5 397B,0.6326650943396226,0.6285014005602241
8,18,MMRF (cosine),0.5713443396226415,0.5688453159041393
8,18,MMRF (L2),0.5689858490566038,0.5741804129059032
8,18,Ridge,0.5890330188679245,0.5655721547878411
8,18,Bradley-Terry,0.6279481132075472,0.6125635439360929
8,18,Hierarchical BT,0.629127358490566,0.5921594563751427
8,18,Kernel RankSVM,0.6279481132075472,0.617602967112771
8,18,LightGBM,0.5642688679245284,0.5530397344122835
8,18,NNLS (BT+Gemini),0.6939858490566038,0.6723052183836499
8,18,Rank avg.,0.6816037735849056,0.6609969913891482
8,18,Mean,0.6338443396226415,0.6182384064737007
9,16,Gemini 3.1 Pro,0.6609848484848485,0.6579452614379085
9,16,Qwen 3.5 397B,0.6470959595959596,0.6534926470588236
9,16,MMRF (cosine),0.5675505050505051,0.5618259803921568
9,16,MMRF (L2),0.5700757575757576,0.5767565359477125
9,16,Ridge,0.601010101010101,0.5838133169934641
9,16,Bradley-Terry,0.6414141414141414,0.6344464869281046
9,16,Hierarchical BT,0.6464646464646465,0.6181883169934641
9,16,Kernel RankSVM,0.6388888888888888,0.6356515522875816
9,16,LightGBM,0.5757575757575758,0.5719464869281046
9,16,NNLS (BT+Gemini),0.7007575757575758,0.6815665849673203
9,16,Rank avg.,0.6868686868686869,0.6677287581699347
9,16,Mean,0.6452020202020202,0.6363664215686274
10,12,Gemini 3.1 Pro,0.6489197530864198,0.6388344226579521
10,12,Qwen 3.5 397B,0.6165123456790124,0.6097494553376906
10,12,MMRF (cosine),0.5748456790123457,0.5708605664488017
10,12,MMRF (L2),0.5609567901234568,0.5653050108932461
10,12,Ridge,0.6118827160493827,0.5943899782135077
10,12,Bradley-Terry,0.6381172839506173,0.6271786492374727
10,12,Hierarchical BT,0.6628086419753086,0.6332788671023966
10,12,Kernel RankSVM,0.6304012345679012,0.6218409586056645
10,12,LightGBM,0.5887345679012346,0.5901416122004356
10,12,NNLS (BT+Gemini),0.6998456790123457,0.67380174291939
10,12,Rank avg.,0.6851851851851852,0.6588235294117647
10,12,Mean,0.6396604938271605,0.6251089324618736
