model,group,micro,micro_lo,micro_hi,macro,macro_lo,macro_hi,delta
Gemini 3.1 Pro,Unsupervised,0.6540106951871658,0.5887700534759358,0.6871657754010695,0.6326777933395581,0.5661317547852474,0.6711297123015874,-0.02133290184760772
Qwen 3.5 397B,Unsupervised,0.6299465240641712,0.5652406417112299,0.6668582887700533,0.6113562091503267,0.552142565359477,0.648323096599751,-0.01859031491384444
MMRF (cosine),Unsupervised,0.574331550802139,0.511216577540107,0.6203208556149733,0.5726657329598507,0.5043320835278556,0.6203368152816682,-0.001665817842288364
MMRF (L2),Unsupervised,0.5705882352941176,0.5074866310160427,0.6165775401069519,0.5704170557111734,0.5078725830610022,0.616287153750389,-0.0001711795829442142
Ridge,Supervised-linear,0.5791443850267379,0.525120320855615,0.6219251336898396,0.5370759414877062,0.482833970393713,0.5886026007625272,-0.04206844353903172
Bradley-Terry,Supervised-pairwise,0.6101604278074866,0.5529411764705883,0.6481283422459893,0.5669623404917522,0.5102326242997198,0.6115461115001556,-0.04319808731573438
Hierarchical BT,Supervised-pairwise,0.6133689839572193,0.5540106951871657,0.653475935828877,0.5580084811702458,0.4985381652661065,0.6072176023187053,-0.055360502786973464
Kernel RankSVM,Supervised-pairwise,0.6176470588235294,0.5561363636363637,0.6540106951871658,0.587011749144102,0.5259319804310613,0.6321786492374727,-0.030635309679427403
LightGBM,Supervised-nonlinear,0.5577540106951872,0.4994652406417112,0.604812834224599,0.5320417055711174,0.47323437013694364,0.5864303221288515,-0.025712305124069745
NNLS (BT+Gemini),Ensemble,0.6828877005347593,0.6197860962566845,0.7106951871657754,0.6409352629940865,0.5751011758870215,0.6770720267273576,-0.04195243754067279
Rank avg.,Ensemble,0.6705882352941176,0.6090909090909091,0.7005347593582888,0.6292794895736072,0.568218735410831,0.66328139589169,-0.041308745720510354
Mean,Ensemble,0.6229946524064172,0.5652406417112299,0.6561497326203208,0.5954248366013072,0.5352258403361345,0.6315106598194833,-0.027569815805109976
