model,micro_all,macro_all,micro_ge8,macro_ge8,micro_ge10,macro_ge10
NNLS (BT+Gemini),1.0,1.0,1.0,1.0,1.0,1.0
Rank avg.,2.0,3.0,2.0,2.0,2.0,2.0
Gemini 3.1 Pro,3.0,2.0,3.0,3.0,4.0,3.0
Qwen 3.5 397B,4.0,4.0,5.0,4.0,8.0,8.0
Mean,5.0,5.0,4.0,5.0,5.0,6.0
Kernel RankSVM,6.0,6.0,7.0,6.0,7.0,7.0
Hierarchical BT,7.0,10.0,6.0,8.0,3.0,4.0
Bradley-Terry,8.0,9.0,7.0,7.0,6.0,5.0
Ridge,9.0,11.0,9.0,11.0,9.0,9.0
MMRF (cosine),10.0,7.0,10.0,10.0,11.0,11.0
MMRF (L2),11.0,8.0,11.0,9.0,12.0,12.0
LightGBM,12.0,12.0,12.0,12.0,10.0,10.0
