model,subset,point,ci_lo,ci_hi
BT,C,0.5716577540106952,0.5213903743315508,0.627807486631016
BT,CI,0.5374331550802139,0.4823529411764706,0.5919786096256684
BT,CT,0.6106951871657754,0.5732620320855615,0.6684491978609626
BT,CTI,0.620855614973262,0.5844919786096257,0.674331550802139
BT,I,0.5144385026737968,0.4588235294117647,0.5684491978609626
BT,N,0.4978609625668449,0.44010695187165777,0.5529411764705883
BT,NC,0.5700534759358289,0.5192513368983958,0.6293331679941365
BT,NCI,0.5588235294117647,0.5064171122994653,0.6181818181818182
BT,NCT,0.6181818181818182,0.5807486631016042,0.6781786410287713
BT,NCTI,0.6101604278074866,0.5711229946524065,0.6620320855614973
BT,NI,0.5288770053475936,0.4770053475935829,0.5828877005347594
BT,NT,0.6406417112299465,0.6026737967914438,0.7057159092033329
BT,NTI,0.6058823529411764,0.567379679144385,0.6586015587043056
BT,T,0.613903743315508,0.5754010695187166,0.6711229946524064
BT,TI,0.6080213903743316,0.5689839572192513,0.6609625668449198
Cos,C,0.49814585908529047,0.4394313967861557,0.5562422744128553
Cos,CI,0.5497326203208556,0.4983957219251337,0.6092271433757278
Cos,CT,0.48716577540106953,0.43529411764705883,0.5320855614973262
Cos,CTI,0.5304812834224599,0.47807486631016044,0.5855614973262032
Cos,I,0.5590024330900243,0.5036496350364964,0.6246958637469586
Cos,N,0.5663101604278075,0.5171122994652406,0.6235294117647059
Cos,NC,0.5454545454545454,0.49625668449197863,0.5994652406417113
Cos,NCI,0.574331550802139,0.5267379679144385,0.6320855614973262
Cos,NCT,0.5304812834224599,0.4839572192513369,0.5786096256684492
Cos,NCTI,0.5663101604278075,0.5187165775401069,0.6235294117647059
Cos,NI,0.5786096256684492,0.5336898395721925,0.6374331550802139
Cos,NT,0.5577540106951872,0.5122994652406417,0.611764705882353
Cos,NTI,0.5679144385026738,0.520855614973262,0.6267379679144385
Cos,T,0.4994652406417112,0.44545454545454544,0.551336898395722
Cos,TI,0.544385026737968,0.4925133689839572,0.5994652406417113
HBT,C,0.5652406417112299,0.513903743315508,0.6221166350640877
HBT,CI,0.5802139037433155,0.5363636363636364,0.6347593582887701
HBT,CT,0.5390374331550802,0.4853684908429609,0.5962566844919787
HBT,CTI,0.6219251336898396,0.5786096256684492,0.6786096256684492
HBT,I,0.539572192513369,0.4855614973262032,0.5946524064171123
HBT,N,0.4925133689839572,0.4385026737967914,0.5417112299465241
HBT,NC,0.5625668449197861,0.513903743315508,0.6149732620320856
HBT,NCI,0.5909090909090909,0.5481283422459893,0.6449197860962567
HBT,NCT,0.5336898395721925,0.4786096256684492,0.5925133689839572
HBT,NCTI,0.6133689839572193,0.56951871657754,0.6705882352941176
HBT,NI,0.5385026737967914,0.48716577540106953,0.5957063643397981
HBT,NT,0.5475935828877005,0.4946524064171123,0.604812834224599
HBT,NTI,0.6304812834224599,0.5903743315508021,0.6898395721925134
HBT,T,0.5668449197860963,0.5176470588235295,0.6262032085561497
HBT,TI,0.6229946524064172,0.5818181818181818,0.679713547514464
KSVM,C,0.5631016042780749,0.5133689839572193,0.6171122994652406
KSVM,CI,0.5759358288770053,0.5262032085561498,0.6347593582887701
KSVM,CT,0.6192513368983957,0.5807486631016042,0.674331550802139
KSVM,CTI,0.618716577540107,0.5791443850267379,0.6746910320612844
KSVM,I,0.5117647058823529,0.4561497326203209,0.5647850364569621
KSVM,N,0.509090909090909,0.45935828877005347,0.5641711229946524
KSVM,NC,0.5593582887700534,0.509090909090909,0.6149732620320856
KSVM,NCI,0.5727272727272728,0.5224598930481283,0.6304812834224599
KSVM,NCT,0.6171122994652406,0.5791443850267379,0.6727272727272727
KSVM,NCTI,0.6176470588235294,0.5780748663101605,0.6745691209271766
KSVM,NI,0.5096256684491979,0.45294117647058824,0.5631016042780749
KSVM,NT,0.5946524064171123,0.5518716577540107,0.6508021390374331
KSVM,NTI,0.6122994652406417,0.574331550802139,0.667379679144385
KSVM,T,0.5967914438502674,0.5545454545454546,0.6540106951871658
KSVM,TI,0.6133689839572193,0.5759358288770053,0.6689839572192513
L2,C,0.5037082818294191,0.44437577255871447,0.5618046971569839
L2,CI,0.5545454545454546,0.5032085561497326,0.6149732620320856
L2,CT,0.49679144385026736,0.4443850267379679,0.5475935828877005
L2,CTI,0.5508021390374331,0.4994652406417112,0.6090909090909091
L2,I,0.568734793187348,0.5145985401459854,0.635036496350365
L2,N,0.5491978609625668,0.49625668449197863,0.6090909090909091
L2,NC,0.5406417112299465,0.48877005347593583,0.5951871657754011
L2,NCI,0.5705882352941176,0.5219251336898396,0.6283422459893048
L2,NCT,0.5497326203208556,0.49893048128342243,0.6055853898567778
