ingredient_agg,model,scope,point,ci_lo,ci_hi
log_weighted_average,bt,all_pairs,0.6101604278074866,0.5721925133689839,0.6627869928298545
log_weighted_average,bt,within_block,0.5774111675126904,0.5041906386159365,0.6415584415584416
log_weighted_average,nnls,all_pairs,0.6828877005347593,0.6529411764705882,0.7401069518716578
log_weighted_average,nnls,within_block,0.6611675126903553,0.6002545193322393,0.7148003522634769
max,bt,all_pairs,0.604812834224599,0.5663101604278075,0.6577540106951871
max,bt,within_block,0.5723350253807107,0.5077922077922078,0.6312903015138321
max,nnls,all_pairs,0.6786096256684492,0.6475935828877005,0.7345350941494604
max,nnls,within_block,0.6611675126903553,0.6005081746775839,0.7159231485423587
mean,bt,all_pairs,0.5919786096256684,0.551336898395722,0.6433155080213904
mean,bt,within_block,0.5545685279187818,0.4867281395701476,0.6145596523901712
mean,nnls,all_pairs,0.6732620320855615,0.6406417112299465,0.7272727272727273
mean,nnls,within_block,0.6560913705583756,0.5947578191859136,0.710997442455243
top3_by_conc,bt,all_pairs,0.6508021390374331,0.6213903743315508,0.7010455025351476
top3_by_conc,bt,within_block,0.6078680203045685,0.5359790812035576,0.6715423880016306
top3_by_conc,nnls,all_pairs,0.6850267379679145,0.6561497326203208,0.7398347066507431
top3_by_conc,nnls,within_block,0.6484771573604061,0.5844595107067089,0.7038010798569827
weighted_average,bt,all_pairs,0.6219251336898396,0.5871657754010695,0.6748663101604279
weighted_average,bt,within_block,0.6129441624365483,0.5528802676901714,0.6708949016159647
weighted_average,nnls,all_pairs,0.6764705882352942,0.6459893048128342,0.7308757546600951
weighted_average,nnls,within_block,0.6510152284263959,0.5894591961585558,0.7050359712230215
