model,category,point,ci_lo,ci_hi
BT,Bacon,0.5111111111111111,0.2222222222222222,0.7888888888888889
BT,Barista_Milk,0.7,0.5222222222222223,0.8888888888888888
BT,Bratwurst,0.6388888888888888,0.375,0.875
BT,Breaded_Chicken_Filet,0.8,0.3,0.95
BT,Breakfast_Sausages,0.5777777777777777,0.36666666666666664,0.7111111111111111
BT,Burgers,0.8,0.6111111111111112,0.9222222222222223
BT,Butter,0.6888888888888889,0.45555555555555555,0.8666666666666667
BT,Cheddar_Cheese,0.6607142857142857,0.30357142857142855,0.8928571428571429
BT,Chicken_Strips,0.5333333333333333,0.23333333333333334,0.8111111111111111
BT,Cream_Cheese,0.6,0.32222222222222224,0.8222222222222222
BT,Creamer,0.7222222222222222,0.3472222222222222,0.8888888888888888
BT,Deli_Ham,0.7083333333333334,0.4583333333333333,0.875
BT,Deli_Turkey,0.7142857142857143,0.38095238095238093,0.9047619047619048
BT,Hot_Dogs,0.7555555555555555,0.5888888888888889,0.9222222222222223
BT,Ice_Cream_Hard_Serve,0.7111111111111111,0.4777777777777778,0.8888888888888888
BT,Meatballs,0.1,0.05,0.25
BT,Milk,0.6928104575163399,0.5980392156862745,0.803921568627451
BT,Mozzarella,0.21428571428571427,0.08928571428571429,0.42857142857142855
BT,Nuggets,0.35555555555555557,0.15555555555555556,0.5555555555555556
BT,Pulled_Pork,0.3333333333333333,0.09523809523809523,0.6190476190476191
BT,Sour_Cream,0.5,0.1,0.9
BT,Steak,0.5555555555555556,0.2222222222222222,0.8055555555555556
BT,Unbreaded_Chicken_Breast,0.6,0.36666666666666664,0.8
BT,Yogurt,0.13333333333333333,0.06666666666666667,0.3
BT+Gemini,Bacon,0.5333333333333333,0.28888888888888886,0.7777777777777778
BT+Gemini,Barista_Milk,0.8111111111111111,0.6555555555555556,0.9333333333333333
BT+Gemini,Bratwurst,0.6666666666666666,0.3611111111111111,0.875
BT+Gemini,Breaded_Chicken_Filet,0.3,0.1,0.7
BT+Gemini,Breakfast_Sausages,0.6444444444444445,0.32222222222222224,0.8888888888888888
BT+Gemini,Burgers,0.8,0.6,0.9333333333333333
BT+Gemini,Butter,0.7111111111111111,0.4777777777777778,0.8333333333333334
BT+Gemini,Cheddar_Cheese,0.7321428571428571,0.5714285714285714,0.9107142857142857
BT+Gemini,Chicken_Strips,0.5777777777777777,0.37777777777777777,0.7777777777777778
BT+Gemini,Cream_Cheese,0.7777777777777778,0.4777777777777778,0.9333333333333333
BT+Gemini,Creamer,0.8333333333333334,0.6388888888888888,0.9444444444444444
BT+Gemini,Deli_Ham,0.5416666666666666,0.25,0.8055555555555556
BT+Gemini,Deli_Turkey,0.8095238095238095,0.5714285714285714,0.9523809523809523
BT+Gemini,Hot_Dogs,0.7333333333333333,0.5666666666666667,0.8888888888888888
BT+Gemini,Ice_Cream_Hard_Serve,0.5333333333333333,0.3333333333333333,0.7888888888888889
BT+Gemini,Meatballs,0.6,0.1,0.9
BT+Gemini,Milk,0.8300653594771242,0.7156862745098039,0.9281045751633987
BT+Gemini,Mozzarella,0.4642857142857143,0.16071428571428573,0.7857142857142857
BT+Gemini,Nuggets,0.3333333333333333,0.15524521093629523,0.6
BT+Gemini,Pulled_Pork,0.5714285714285714,0.3333333333333333,0.8333333333333334
BT+Gemini,Sour_Cream,0.6,0.25,0.9
BT+Gemini,Steak,0.7777777777777778,0.5277777777777778,0.9027777777777778
BT+Gemini,Unbreaded_Chicken_Breast,0.8,0.5888888888888889,0.9222222222222223
BT+Gemini,Yogurt,0.4,0.13333333333333333,0.6666666666666666
Gemini,Bacon,0.5555555555555556,0.3111111111111111,0.7888888888888889
Gemini,Barista_Milk,0.7666666666666667,0.6222222222222222,0.9333333333333333
Gemini,Bratwurst,0.6944444444444444,0.4027777777777778,0.9027777777777778
Gemini,Breaded_Chicken_Filet,0.3,0.1,0.7
Gemini,Breakfast_Sausages,0.5888888888888889,0.32222222222222224,0.8444444444444444
Gemini,Burgers,0.7555555555555555,0.5555555555555556,0.9111111111111111
Gemini,Butter,0.6888888888888889,0.4444444444444444,0.8333333333333334
Gemini,Cheddar_Cheese,0.7678571428571429,0.6071428571428571,0.9464285714285714
Gemini,Chicken_Strips,0.5222222222222223,0.36666666666666664,0.7555555555555555
Gemini,Cream_Cheese,0.6666666666666666,0.37777777777777777,0.8555555555555555
Gemini,Creamer,0.875,0.7777777777777778,0.9583333333333334
Gemini,Deli_Ham,0.4583333333333333,0.18055555555555555,0.75
Gemini,Deli_Turkey,0.6666666666666666,0.3333333333333333,0.8571428571428571
Gemini,Hot_Dogs,0.6666666666666666,0.35555555555555557,0.8555555555555555
Gemini,Ice_Cream_Hard_Serve,0.4666666666666667,0.25555555555555554,0.7666666666666667
Gemini,Meatballs,0.6,0.1,0.9
Gemini,Milk,0.6993464052287581,0.5359477124183006,0.8333333333333334
Gemini,Mozzarella,0.5892857142857143,0.26785714285714285,0.9107142857142857
Gemini,Nuggets,0.5333333333333333,0.32222222222222224,0.7555555555555555
Gemini,Pulled_Pork,0.6666666666666666,0.38095238095238093,0.9047619047619048
Gemini,Sour_Cream,0.6,0.25,0.9
Gemini,Steak,0.8333333333333334,0.7222222222222222,0.9305555555555556
Gemini,Unbreaded_Chicken_Breast,0.7555555555555555,0.5222222222222223,0.9111111111111111
Gemini,Yogurt,0.4666666666666667,0.13333333333333333,0.7333333333333333
