category,point,ci_lo,ci_hi
Bacon,0.5333333333333333,0.28888888888888886,0.7777777777777778
Barista_Milk,0.8111111111111111,0.6555555555555556,0.9333333333333333
Bratwurst,0.6666666666666666,0.3611111111111111,0.875
Breaded_Chicken_Filet,0.3,0.1,0.7
Breakfast_Sausages,0.6444444444444445,0.32222222222222224,0.8888888888888888
Burgers,0.8,0.6,0.9333333333333333
Butter,0.7111111111111111,0.4777777777777778,0.8333333333333334
Cheddar_Cheese,0.7321428571428571,0.5714285714285714,0.9107142857142857
Chicken_Strips,0.5777777777777777,0.37777777777777777,0.7777777777777778
Cream_Cheese,0.7777777777777778,0.4777777777777778,0.9333333333333333
Creamer,0.8333333333333334,0.6388888888888888,0.9444444444444444
Deli_Ham,0.5416666666666666,0.25,0.8055555555555556
Deli_Turkey,0.8095238095238095,0.5714285714285714,0.9523809523809523
Hot_Dogs,0.7333333333333333,0.5666666666666667,0.8888888888888888
Ice_Cream_Hard_Serve,0.5333333333333333,0.3333333333333333,0.7888888888888889
Meatballs,0.6,0.1,0.9
Milk,0.8300653594771242,0.7156862745098039,0.9281045751633987
Mozzarella,0.4642857142857143,0.16071428571428573,0.7857142857142857
Nuggets,0.3333333333333333,0.15524521093629523,0.6
Pulled_Pork,0.5714285714285714,0.3333333333333333,0.8333333333333334
Sour_Cream,0.6,0.25,0.9
Steak,0.7777777777777778,0.5277777777777778,0.9027777777777778
Unbreaded_Chicken_Breast,0.8,0.5888888888888889,0.9222222222222223
Yogurt,0.4,0.13333333333333333,0.6666666666666666
