oof,pairwise_accuracy_point,pairwise_accuracy_lo,pairwise_accuracy_hi,spearman_point,spearman_lo,spearman_hi,kendall_tau_point,kendall_tau_lo,kendall_tau_hi,recall_at_1_point,recall_at_1_lo,recall_at_1_hi,recall_at_2_point,recall_at_2_lo,recall_at_2_hi,recall_at_3_point,recall_at_3_lo,recall_at_3_hi
llm_gemini_3_1_pro_preview_image,0.5893048128342246,0.5433155080213904,0.6504125898962569,0.2669015819997913,0.14111407518780197,0.4264171690915087,0.19429449371551896,0.07173269841185201,0.3132415645374304,0.22916666666666666,0.09722222222222221,0.35763888888888884,0.486111111111111,0.4166666666666667,0.6939428005081733,0.5555555555555555,0.4201388888888889,0.7291666666666666
llm_gemini_3_1_pro_preview_ingredients,0.606951871657754,0.5647058823529412,0.6632920634745334,0.25885443764102434,0.13462628654280506,0.4057370887399769,0.20125187602387792,0.08173730876173783,0.31887404311389544,0.2916666666666667,0.2152777777777778,0.47222222222222215,0.4166666666666667,0.2986111111111111,0.5833333333333334,0.5972222222222222,0.548611111111111,0.7837364731295666
llm_gemini_3_1_pro_preview_ingredients_image,0.6540106951871658,0.6176470588235294,0.7155080213903743,0.37047104510594037,0.2482151290741135,0.5160189568907162,0.2984123513813909,0.1797154927740615,0.4113571005137546,0.2708333333333333,0.16666666666666666,0.43100850336408664,0.5138888888888888,0.47222222222222215,0.7082147591681228,0.5777777777777777,0.48680555555555555,0.7711282287008028
llm_gemini_3_1_pro_preview_ingredients_nutrition,0.6224598930481283,0.5791443850267379,0.6836822791325565,0.29327364314259696,0.16002927442642384,0.44051270233919454,0.23197551327835664,0.10256429552807712,0.3518004564941542,0.2638888888888889,0.17152777777777775,0.42361111111111116,0.3819444444444444,0.24305555555555555,0.5347222222222222,0.5208333333333334,0.40625,0.7078201138242233
llm_gemini_3_1_pro_preview_ingredients_nutrition_image,0.6245989304812835,0.5802139037433155,0.6855614973262032,0.30326965343238427,0.17787526845186807,0.4496846924093227,0.2286725407378081,0.10337854721382077,0.3422604255665649,0.1875,0.0625,0.2847222222222222,0.3541666666666667,0.21527777777777776,0.5,0.5208333333333334,0.42013888888888884,0.7030857312789723
llm_gemini_3_1_pro_preview_nutrition,0.5919786096256684,0.5427807486631016,0.653475935828877,0.22771210176647372,0.09198362019668806,0.3906742003898041,0.1754411756422259,0.046997204933344784,0.3060519454790683,0.16666666666666666,0.03626907438281309,0.2638888888888889,0.3055555555555555,0.13541666666666666,0.4305555555555555,0.4444444444444444,0.2638888888888889,0.5833333333333334
llm_gemini_3_1_pro_preview_nutrition_image,0.6096256684491979,0.5652406417112299,0.6725422947305025,0.2841549288233736,0.1545177012571644,0.4342017419026162,0.22566270216346943,0.10204834185212608,0.3459246251862075,0.20138888888888887,0.09870497668703593,0.31597222222222227,0.3611111111111111,0.24652777777777776,0.5208333333333334,0.3958333333333333,0.20993711616311714,0.46527777777777773
llm_qwen3_5_397b_a17b_image,0.5716577540106952,0.5245989304812835,0.6267379679144385,0.13905585680489854,-0.00172885328801036,0.27822465890154435,0.12130783701099582,3.3156615484550674e-05,0.23803827602123076,0.125,0.020833333333333332,0.20138888888888887,0.16666666666666666,0.020922798346249865,0.20833333333333334,0.3263888888888889,0.14133926709683883,0.4375
llm_qwen3_5_397b_a17b_ingredients,0.5877005347593582,0.5390374331550802,0.6480871262119101,0.2257663506489492,0.08666270234276462,0.38392630437952263,0.17629840415966,0.04568592477162419,0.30077348378222435,0.22916666666666666,0.14583333333333334,0.39554934622424426,0.3645833333333333,0.2569444444444444,0.5381944444444444,0.4791666666666667,0.3444444444444444,0.6416666666666667
llm_qwen3_5_397b_a17b_ingredients_image,0.6299465240641712,0.5893048128342246,0.6903743315508022,0.3204353201136963,0.19647469256503616,0.46173787780946013,0.2553172050376972,0.13803054329567302,0.36541963102682296,0.22916666666666666,0.13194444444444442,0.3541666666666667,0.3541666666666667,0.2111111111111111,0.48263888888888884,0.5,0.37152777777777773,0.65625
llm_qwen3_5_397b_a17b_ingredients_nutrition,0.6042780748663101,0.5577540106951872,0.6670357926590625,0.28078000209639575,0.15436488233572518,0.4357001685475051,0.21268524897440472,0.09142950485859723,0.33004663296947706,0.2222222222222222,0.10763888888888888,0.3416666666666666,0.40277777777777773,0.2736111111111111,0.5583333333333332,0.5833333333333334,0.49722222222222223,0.7935798635883202
llm_qwen3_5_397b_a17b_ingredients_nutrition_image,0.6026737967914438,0.5545454545454546,0.6631016042780749,0.24518063360230968,0.10873873662090293,0.3913688253815069,0.1932539578788445,0.06633869203011263,0.3102412561062167,0.20833333333333334,0.10416666666666667,0.3194444444444444,0.2708333333333333,0.1111111111111111,0.34722222222222215,0.3541666666666667,0.17845463188713126,0.4270833333333333
llm_qwen3_5_397b_a17b_nutrition,0.5866310160427808,0.5385026737967914,0.6497326203208557,0.2339896245240946,0.10050583355757635,0.4020599004546111,0.16204134173359805,0.03246846411240875,0.28618031908494346,0.10416666666666667,0.0,0.14583333333333334,0.2638888888888889,0.07638888888888888,0.3611111111111111,0.5277777777777778,0.42083333333333334,0.7222222222222222
llm_qwen3_5_397b_a17b_nutrition_image,0.5727272727272728,0.5256684491978609,0.6331550802139038,0.1892414241576494,0.053127159283160336,0.3438598036732712,0.14464750925879974,0.020422560776538905,0.2680914937484049,0.18055555555555555,0.08640302857639236,0.2847222222222222,0.3194444444444444,0.19722222222222222,0.4479166666666667,0.4166666666666667,0.2615231155369892,0.5381944444444444
