category,n,cv,pearson_r
Bacon,10,0.191427,0.234629
Barista_Milk,10,0.155348,0.753
Bratwurst,9,0.169035,0.432547
Breaded_Chicken_Filet,5,0.06363,-0.674128
Breakfast_Sausages,10,0.124672,0.124435
Burgers,10,0.19044,0.811899
Butter,10,0.135298,0.60161
Cheddar_Cheese,8,0.103548,0.745515
Chicken_Strips,10,0.112655,0.13648
Cream_Cheese,10,0.230551,0.814316
Creamer,9,0.225601,0.921211
Deli_Ham,9,0.160012,-0.073539
Deli_Turkey,7,0.182776,0.720133
Hot_Dogs,10,0.190614,0.62407
Ice_Cream_Hard_Serve,10,0.174444,0.43179
Meatballs,5,0.255996,0.271369
Milk,18,0.189936,0.793824
Mozzarella,8,0.136703,-0.335715
Nuggets,10,0.155354,-0.274818
Pulled_Pork,7,0.163825,0.196845
Sour_Cream,5,0.159966,0.404632
Steak,9,0.213939,0.695644
Unbreaded_Chicken_Breast,10,0.137235,0.812311
Yogurt,6,0.134432,-0.385799
