pair,has_reasoning,brand,identification,external_recall,contamination_sig,gemini_correct,bt_correct
0,True,False,False,False,False,1.0,0.0
1,True,False,False,False,False,1.0,1.0
2,True,False,True,False,True,1.0,0.0
3,True,True,False,False,False,1.0,1.0
4,True,False,False,False,False,1.0,1.0
5,True,False,True,False,True,1.0,1.0
6,True,False,True,False,True,1.0,1.0
7,True,False,False,False,False,1.0,1.0
8,True,True,True,False,True,1.0,1.0
9,True,False,False,False,False,0.0,1.0
10,True,False,False,False,False,1.0,1.0
11,True,False,False,False,False,0.0,1.0
12,True,False,False,False,False,1.0,0.0
13,True,True,True,False,True,0.0,1.0
14,True,False,False,False,False,1.0,1.0
15,True,False,True,False,True,1.0,1.0
16,True,False,False,False,False,1.0,1.0
17,True,False,False,False,False,1.0,1.0
18,True,False,False,False,False,1.0,1.0
19,True,False,False,False,False,0.0,0.0
20,True,False,False,False,False,1.0,1.0
21,True,False,False,False,False,0.0,1.0
22,True,False,False,False,False,1.0,0.0
23,True,False,False,False,False,0.0,0.0
24,True,False,False,False,False,1.0,1.0
25,True,False,True,False,True,0.0,1.0
26,True,False,False,False,False,1.0,1.0
27,True,False,False,False,False,1.0,1.0
28,True,False,False,False,False,0.0,0.0
29,True,True,False,False,False,1.0,0.0
30,True,False,False,False,False,1.0,0.0
31,True,False,False,False,False,1.0,1.0
32,True,False,False,False,False,0.0,1.0
33,True,False,True,False,True,0.0,1.0
34,True,False,False,False,False,1.0,1.0
35,True,False,False,False,False,1.0,0.0
36,True,False,False,False,False,1.0,0.0
37,True,False,False,False,False,1.0,1.0
38,True,False,False,False,False,0.0,1.0
39,True,False,False,False,False,1.0,1.0
40,True,False,False,False,False,0.0,0.0
41,True,True,False,False,False,1.0,1.0
42,True,False,False,False,False,0.0,0.0
43,True,False,False,False,False,0.0,0.0
44,True,False,False,False,False,0.0,1.0
45,True,False,False,False,False,0.0,1.0
46,True,False,False,False,False,1.0,1.0
47,True,False,False,False,False,0.0,0.0
48,True,False,True,False,True,1.0,0.0
49,True,True,False,False,False,0.0,1.0
50,True,False,True,False,True,0.0,1.0
51,True,True,False,False,False,0.0,1.0
52,True,False,False,False,False,1.0,1.0
53,True,False,True,False,True,1.0,1.0
54,True,False,False,False,False,1.0,1.0
55,True,False,True,False,True,1.0,1.0
56,True,False,False,False,False,0.0,1.0
57,True,False,False,False,False,1.0,1.0
58,True,False,False,False,False,1.0,1.0
59,True,False,True,False,True,1.0,1.0
60,True,False,False,False,False,1.0,1.0
61,True,False,False,False,False,1.0,0.0
62,True,False,False,False,False,1.0,1.0
63,True,False,False,False,False,1.0,0.0
64,True,True,False,True,True,1.0,1.0
65,True,True,False,False,False,1.0,1.0
66,True,False,False,False,False,0.0,1.0
67,True,True,True,True,True,1.0,1.0
68,True,False,False,False,False,1.0,0.0
69,True,False,False,False,False,0.0,1.0
70,True,False,False,False,False,1.0,0.0
71,True,False,True,False,True,1.0,1.0
72,True,False,False,False,False,1.0,1.0
73,True,False,False,False,False,0.0,1.0
74,True,False,False,False,False,1.0,1.0
75,True,False,False,False,False,1.0,0.0
76,True,False,False,False,False,0.0,1.0
77,True,False,False,False,False,1.0,1.0
78,True,False,False,False,False,0.0,0.0
79,True,False,False,False,False,0.0,1.0
80,True,True,False,False,False,1.0,0.0
81,True,False,False,False,False,1.0,1.0
82,True,False,False,False,False,1.0,1.0
83,True,False,False,False,False,0.0,1.0
84,True,False,False,False,False,0.0,1.0
85,True,False,False,False,False,1.0,1.0
86,True,False,False,False,False,0.0,1.0
87,True,False,False,False,False,1.0,0.0
88,True,False,False,False,False,0.0,1.0
89,True,True,False,False,False,0.0,1.0
90,True,True,False,False,False,1.0,0.0
91,True,False,False,False,False,0.0,0.0
92,True,False,False,True,True,1.0,1.0
