model,group,micro,micro_lo,micro_hi,macro,macro_lo,macro_hi,delta
Gemini 3.1 Pro,Unsupervised,0.6540106951871658,0.5892914438502674,0.688248663101604,0.6326777933395581,0.5670060350529099,0.6709399315281668,-0.02133290184760772
Qwen 3.5 397B,Unsupervised,0.6299465240641712,0.5657620320855615,0.6668449197860963,0.6113562091503267,0.552057121459695,0.6483558249688763,-0.01859031491384444
MMRF (cosine),Unsupervised,0.574331550802139,0.5117647058823529,0.6197860962566845,0.5726657329598507,0.5065509502412076,0.6193201933551198,-0.001665817842288364
MMRF (L2),Unsupervised,0.5705882352941176,0.5096256684491979,0.6176470588235294,0.5704170557111734,0.5110296306022409,0.6161603252412076,-0.0001711795829442142
Ridge,Supervised-linear,0.5791443850267379,0.5213903743315508,0.6214037433155077,0.5370759414877062,0.48250797541238716,0.5861842271630874,-0.04206844353903172
Bradley-Terry,Supervised-pairwise,0.6101604278074866,0.5540106951871657,0.6470588235294118,0.5669623404917522,0.5099707487161531,0.6122823295985059,-0.04319808731573438
Hierarchical BT,Supervised-pairwise,0.6133689839572193,0.553475935828877,0.653489304812834,0.5580084811702458,0.49972762021475253,0.6074613143868659,-0.055360502786973464
Kernel RankSVM,Supervised-pairwise,0.6176470588235294,0.5572192513368984,0.6545454545454545,0.587011749144102,0.5256612540849672,0.6314693967864923,-0.030635309679427403
LightGBM,Supervised-nonlinear,0.5577540106951872,0.5005213903743315,0.6074866310160428,0.5320417055711174,0.47294907893713045,0.5881532057267351,-0.025712305124069745
NNLS (BT+Gemini),Ensemble,0.6828877005347593,0.6213903743315508,0.7101604278074867,0.6409352629940865,0.5761488970588236,0.6770445504590725,-0.04195243754067279
Rank avg.,Ensemble,0.6705882352941176,0.6085561497326203,0.6983957219251337,0.6292794895736072,0.5669261593526299,0.6631858125194521,-0.041308745720510354
Mean,Ensemble,0.6229946524064172,0.5662967914438503,0.6556149732620321,0.5954248366013072,0.5341323091736695,0.6346280248210395,-0.027569815805109976
