test_id,pred_o,correct_o,pred_f,correct_f
0,2,0.0,2,0.0
3,1,1.0,1,1.0
4,1,1.0,1,1.0
6,1,1.0,2,0.0
8,1,1.0,1,1.0
10,2,0.0,2,0.0
13,2,0.0,2,0.0
15,2,1.0,2,1.0
17,1,1.0,1,1.0
20,1,1.0,2,0.0
21,1,0.0,1,0.0
23,1,1.0,1,1.0
25,2,0.0,1,1.0
27,1,0.0,2,1.0
30,2,1.0,2,1.0
32,2,1.0,2,1.0
34,1,1.0,1,1.0
66,1,1.0,1,1.0
68,1,1.0,1,1.0
70,2,0.0,2,0.0
72,1,1.0,1,1.0
75,2,1.0,2,1.0
77,2,0.0,2,0.0
79,2,1.0,2,1.0
81,2,1.0,1,0.0
83,2,1.0,2,1.0
85,2,0.0,2,0.0
88,1,0.0,1,0.0
90,2,1.0,2,1.0
92,1,1.0,1,1.0
106,2,1.0,2,1.0
108,2,0.0,2,0.0
111,2,0.0,2,0.0
113,1,1.0,1,1.0
115,1,1.0,1,1.0
127,1,0.0,1,0.0
130,2,0.0,2,0.0
132,2,0.0,2,0.0
134,1,0.0,1,0.0
145,1,0.0,2,1.0
147,1,1.0,1,1.0
149,2,1.0,2,1.0
162,1,1.0,1,1.0
164,2,1.0,2,1.0
169,1,1.0,1,1.0
190,2,1.0,2,1.0
194,1,1.0,1,1.0
196,1,0.0,1,0.0
197,1,1.0,1,1.0
198,1,0.0,1,0.0
203,1,1.0,1,1.0
204,1,1.0,1,1.0
205,1,1.0,1,1.0
206,2,0.0,2,0.0
211,2,1.0,2,1.0
213,2,0.0,1,1.0
214,1,1.0,1,1.0
215,1,1.0,1,1.0
220,1,1.0,1,1.0
221,1,0.0,1,0.0
222,1,1.0,1,1.0
223,2,0.0,1,1.0
271,1,0.0,1,0.0
272,1,1.0,1,1.0
273,1,0.0,1,0.0
278,1,1.0,1,1.0
279,1,1.0,1,1.0
280,1,0.0,1,0.0
295,1,1.0,1,1.0
296,1,1.0,2,0.0
301,1,1.0,1,1.0
302,1,1.0,1,1.0
303,2,1.0,2,1.0
304,1,1.0,1,1.0
306,2,1.0,2,1.0
311,1,1.0,1,1.0
312,2,0.0,2,0.0
313,2,1.0,2,1.0
314,2,1.0,2,1.0
320,1,1.0,1,1.0
321,1,1.0,1,1.0
322,2,1.0,2,1.0
323,1,0.0,1,0.0
351,1,0.0,1,0.0
352,2,1.0,2,1.0
353,1,1.0,1,1.0
355,2,1.0,2,1.0
356,1,1.0,1,1.0
358,1,1.0,1,1.0
362,2,1.0,2,1.0
363,1,1.0,1,1.0
365,2,1.0,2,1.0
366,1,1.0,1,1.0
367,1,1.0,1,1.0
369,2,1.0,2,1.0
370,2,1.0,2,1.0
371,2,1.0,2,1.0
382,1,1.0,1,1.0
384,1,0.0,1,0.0
385,1,1.0,1,1.0
386,2,1.0,2,1.0
388,2,1.0,2,1.0
389,1,1.0,1,1.0
390,2,0.0,2,0.0
392,1,1.0,2,0.0
393,2,1.0,2,1.0
394,2,1.0,2,1.0
396,2,1.0,2,1.0
397,2,0.0,2,0.0
398,2,0.0,2,0.0
406,2,1.0,2,1.0
407,2,1.0,2,1.0
409,1,0.0,1,0.0
410,2,1.0,2,1.0
411,2,0.0,2,0.0
412,1,1.0,1,1.0
414,2,1.0,2,1.0
415,2,0.0,2,0.0
416,1,0.0,1,0.0
418,2,1.0,2,1.0
419,2,1.0,2,1.0
420,2,1.0,2,1.0
424,2,1.0,2,1.0
425,1,1.0,1,1.0
426,1,0.0,1,0.0
428,1,1.0,2,0.0
429,2,0.0,2,0.0
433,2,0.0,2,0.0
435,2,1.0,2,1.0
446,1,0.0,1,0.0
450,1,0.0,1,0.0
452,1,1.0,1,1.0
457,1,1.0,1,1.0
459,1,0.0,1,0.0
477,2,0.0,2,0.0
504,1,1.0,1,1.0
505,2,1.0,2,1.0
509,1,1.0,1,1.0
510,1,1.0,1,1.0
511,2,1.0,2,1.0
512,1,1.0,1,1.0
516,2,1.0,2,1.0
519,2,1.0,2,1.0
520,1,1.0,1,1.0
556,2,1.0,2,1.0
560,2,0.0,2,0.0
561,1,1.0,1,1.0
562,2,1.0,2,1.0
563,2,0.0,2,0.0
567,2,1.0,1,0.0
570,2,1.0,2,1.0
571,1,1.0,1,1.0
575,2,0.0,2,0.0
576,1,1.0,1,1.0
577,2,0.0,2,0.0
578,2,0.0,2,0.0
582,1,1.0,1,1.0
585,1,1.0,1,1.0
586,2,0.0,2,0.0
626,1,1.0,1,1.0
627,1,1.0,1,1.0
628,2,0.0,2,0.0
632,1,0.0,1,0.0
635,1,1.0,1,1.0
636,1,0.0,1,0.0
637,2,1.0,2,1.0
638,2,0.0,2,0.0
642,2,1.0,2,1.0
645,1,1.0,1,1.0
646,1,1.0,1,1.0
647,1,0.0,1,0.0
651,1,0.0,2,1.0
654,1,1.0,1,1.0
655,2,0.0,2,0.0
659,2,0.0,2,0.0
662,2,0.0,2,0.0
663,1,0.0,1,0.0
684,2,1.0,2,1.0
685,1,0.0,1,0.0
691,2,1.0,2,1.0
692,1,1.0,1,1.0
693,2,1.0,2,1.0
698,2,1.0,2,1.0
700,1,1.0,1,1.0
701,1,1.0,1,1.0
702,2,0.0,2,0.0
703,2,1.0,2,1.0
704,2,1.0,2,1.0
710,1,1.0,1,1.0
712,2,1.0,1,0.0
717,2,1.0,2,1.0
719,2,1.0,2,1.0
720,2,1.0,2,1.0
721,1,1.0,1,1.0
722,1,1.0,1,1.0
723,2,1.0,2,1.0
729,1,1.0,1,1.0
735,2,1.0,2,1.0
737,2,1.0,2,1.0
738,1,1.0,1,1.0
739,1,1.0,1,1.0
740,1,1.0,1,1.0
741,1,1.0,1,1.0
747,1,0.0,2,1.0
812,1,1.0,1,1.0
813,2,1.0,2,1.0
814,2,1.0,1,0.0
815,1,1.0,1,1.0
816,1,1.0,1,1.0
822,2,0.0,2,0.0
836,2,1.0,2,1.0
837,2,0.0,2,0.0
838,1,1.0,1,1.0
839,2,0.0,2,0.0
845,2,0.0,2,0.0
847,1,0.0,1,0.0
848,1,1.0,1,1.0
849,1,1.0,1,1.0
855,2,1.0,2,1.0
857,1,0.0,2,1.0
858,2,0.0,2,0.0
864,2,1.0,2,1.0
866,1,0.0,1,0.0
872,1,0.0,1,0.0
879,2,0.0,2,0.0
959,1,1.0,1,1.0
961,2,0.0,2,0.0
964,1,1.0,1,1.0
965,2,1.0,2,1.0
966,1,1.0,1,1.0
967,1,1.0,1,1.0
971,2,0.0,1,1.0
974,2,1.0,2,1.0
975,1,0.0,2,1.0
977,1,0.0,1,0.0
980,1,1.0,1,1.0
981,2,1.0,2,1.0
982,1,0.0,1,0.0
983,1,1.0,1,1.0
987,1,0.0,1,0.0
990,2,1.0,2,1.0
991,2,1.0,2,1.0
1009,1,1.0,1,1.0
1010,2,0.0,2,0.0
1011,1,1.0,1,1.0
1012,2,1.0,2,1.0
1016,1,0.0,1,0.0
1019,2,0.0,2,0.0
1020,1,0.0,1,0.0
1046,2,1.0,2,1.0
1047,2,1.0,2,1.0
1048,1,1.0,2,0.0
1052,1,1.0,1,1.0
1055,2,1.0,2,1.0
1056,1,1.0,2,0.0
1057,2,1.0,2,1.0
1058,1,1.0,1,1.0
1062,2,0.0,2,0.0
1065,1,0.0,1,0.0
1066,2,0.0,1,1.0
1067,1,1.0,1,1.0
1071,2,1.0,2,1.0
1074,2,1.0,2,1.0
1075,2,0.0,1,1.0
1079,1,1.0,2,0.0
1082,2,1.0,2,1.0
1083,2,0.0,2,0.0
1104,2,1.0,1,0.0
1105,1,1.0,1,1.0
1111,1,0.0,1,0.0
1112,2,1.0,2,1.0
1113,1,1.0,1,1.0
1122,1,1.0,1,1.0
1123,1,0.0,1,0.0
1124,1,1.0,1,1.0
1126,2,0.0,2,0.0
1128,1,0.0,1,0.0
1131,1,1.0,1,1.0
1137,1,0.0,1,0.0
1138,1,1.0,1,1.0
1139,1,1.0,1,1.0
1141,1,1.0,1,1.0
1145,2,1.0,2,1.0
1151,2,0.0,2,0.0
1152,2,1.0,2,1.0
1153,1,1.0,1,1.0
1155,1,0.0,2,1.0
1187,1,0.0,1,0.0
1188,1,1.0,1,1.0
1189,1,1.0,1,1.0
1191,2,1.0,2,1.0
1233,1,1.0,1,1.0
1234,1,1.0,1,1.0
1236,1,0.0,1,0.0
1238,1,1.0,1,1.0
1240,1,1.0,1,1.0
1243,1,0.0,1,0.0
1305,2,1.0,2,1.0
1307,2,0.0,2,0.0
1309,2,0.0,2,0.0
1310,1,1.0,1,1.0
1311,2,0.0,2,0.0
1312,2,1.0,2,1.0
1314,1,0.0,1,0.0
1316,2,0.0,2,0.0
1317,2,1.0,2,1.0
1323,1,0.0,2,1.0
