category,block_id,value_a,value_b,coincidence
Bacon,0,1,1,95.6161616162
Bacon,0,1,2,49.1414141414
Bacon,0,1,3,22.0101010101
Bacon,0,1,4,8.4141414141
Bacon,0,1,5,26.9898989899
Bacon,0,1,6,7.3838383838
Bacon,0,1,7,4.4444444444
Bacon,0,2,1,49.1414141414
Bacon,0,2,2,24.9292929293
Bacon,0,2,3,12.404040404
Bacon,0,2,4,4.3333333333
Bacon,0,2,5,15.3232323232
Bacon,0,2,6,4.1515151515
Bacon,0,2,7,2.7171717172
Bacon,0,3,1,22.0101010101
Bacon,0,3,2,12.404040404
Bacon,0,3,3,6.2424242424
Bacon,0,3,4,2.101010101
Bacon,0,3,5,8.3131313131
Bacon,0,3,6,2.404040404
Bacon,0,3,7,1.5252525253
Bacon,0,4,1,8.4141414141
Bacon,0,4,2,4.3333333333
Bacon,0,4,3,2.101010101
Bacon,0,4,4,0.6060606061
Bacon,0,4,5,2.4949494949
Bacon,0,4,6,0.696969697
Bacon,0,4,7,0.3535353535
Bacon,0,5,1,26.9898989899
Bacon,0,5,2,15.3232323232
Bacon,0,5,3,8.3131313131
Bacon,0,5,4,2.4949494949
Bacon,0,5,5,9.8383838384
Bacon,0,5,6,3.0404040404
Bacon,0,5,7,2.0
Bacon,0,6,1,7.3838383838
Bacon,0,6,2,4.1515151515
Bacon,0,6,3,2.404040404
Bacon,0,6,4,0.696969697
Bacon,0,6,5,3.0404040404
Bacon,0,6,6,0.7474747475
Bacon,0,6,7,0.5757575758
Bacon,0,7,1,4.4444444444
Bacon,0,7,2,2.7171717172
Bacon,0,7,3,1.5252525253
Bacon,0,7,4,0.3535353535
Bacon,0,7,5,2.0
Bacon,0,7,6,0.5757575758
Bacon,0,7,7,0.3838383838
Bacon,1,1,1,44.8131868132
Bacon,1,1,2,29.7472527473
Bacon,1,1,3,17.5824175824
Bacon,1,1,4,9.2747252747
Bacon,1,1,5,20.5714285714
Bacon,1,1,6,9.2307692308
Bacon,1,1,7,4.7802197802
Bacon,1,2,1,29.7472527473
Bacon,1,2,2,23.2307692308
Bacon,1,2,3,13.6373626374
Bacon,1,2,4,7.2637362637
Bacon,1,2,5,18.4835164835
Bacon,1,2,6,7.4945054945
Bacon,1,2,7,4.1428571429
Bacon,1,3,1,17.5824175824
Bacon,1,3,2,13.6373626374
Bacon,1,3,3,7.0989010989
Bacon,1,3,4,4.1758241758
Bacon,1,3,5,10.1098901099
