unit,group,n,mean_centered,sd
unit_01,0,100,0.209167,0.846621
unit_01,1,92,-0.227355,1.366097
unit_02,0,108,-0.026768,1.803903
unit_02,1,103,0.028068,1.707811
unit_03,0,106,-0.265163,1.58236
unit_03,1,99,0.283912,1.187008
unit_04,0,72,0.066756,1.803698
unit_04,1,52,-0.092432,1.897844
unit_05,0,113,-0.06296,1.665634
unit_05,1,88,0.080846,1.655711
unit_06,0,102,-0.063363,1.243113
unit_06,1,101,0.063991,1.220615
unit_07,0,104,0.194491,1.532782
unit_07,1,103,-0.196379,1.64322
unit_08,0,98,0.032124,1.692454
unit_08,1,91,-0.034595,1.587266
unit_09,0,101,0.074282,1.290406
unit_09,1,100,-0.075025,1.522093
unit_10,0,113,-0.079773,1.631121
unit_10,1,96,0.0939,1.258654
unit_11,0,105,-0.093924,1.534822
unit_11,1,98,0.100633,1.411831
unit_12,0,101,-0.241023,1.717412
unit_12,1,100,0.243433,1.525904
unit_13,0,78,0.173731,1.822639
unit_13,1,20,-0.677551,1.609184
unit_14,0,78,0.066719,1.884794
unit_14,1,20,-0.260204,1.831738
unit_15,0,78,0.046834,1.957295
unit_15,1,20,-0.182653,2.038446
unit_16,0,88,-0.18304,1.675785
unit_16,1,78,0.252275,1.373904
unit_16,2,20,-0.178495,2.00263
unit_17,0,78,0.049451,2.021364
unit_17,1,20,-0.192857,2.21181
unit_18,0,103,-0.203618,1.851626
unit_18,1,80,0.262158,1.589324
unit_19,0,110,-0.127273,1.585064
unit_19,1,104,-0.033217,1.593841
unit_19,2,102,0.163993,1.271829
unit_19,3,102,0.00713,1.485973
unit_20,0,114,0.01462,1.209983
unit_20,1,102,-0.01634,1.250121
unit_21,0,106,0.247622,1.697628
unit_21,1,79,0.223977,1.610981
unit_21,2,57,-0.770915,1.911251
unit_22,0,103,0.060822,1.381667
unit_22,1,101,-0.062027,1.588137
unit_23,0,95,0.202547,1.520447
unit_23,1,91,-0.21145,1.706627
unit_24,0,103,0.102164,1.779593
unit_24,1,94,-0.111945,1.836642
unit_25,0,105,-0.223693,1.648176
unit_25,1,100,0.234878,1.491085
