block,item_a,item_b,n_pos,n_neg,n_tie
0,0,1,26,37,37
0,0,2,29,21,50
0,0,3,20,42,38
0,0,4,16,56,28
0,1,2,41,22,37
0,1,3,32,38,30
0,1,4,26,48,26
0,2,3,14,48,38
0,2,4,11,54,35
0,3,4,29,37,34
1,0,1,36,32,24
1,0,2,35,28,29
1,0,3,33,25,34
1,0,4,54,15,23
1,1,2,35,35,22
1,1,3,34,35,23
1,1,4,50,18,24
1,2,3,28,31,33
1,2,4,50,8,34
1,3,4,46,12,34
2,0,1,26,53,29
2,0,2,53,32,23
2,0,3,40,39,29
2,0,4,58,28,22
2,1,2,65,18,25
2,1,3,55,20,33
2,1,4,76,18,14
2,2,3,34,44,30
2,2,4,53,35,20
2,3,4,65,22,21
3,0,1,11,73,19
3,0,2,12,68,23
3,0,3,17,65,21
3,0,4,15,69,19
3,1,2,35,38,30
3,1,3,51,34,18
3,1,4,48,34,21
3,2,3,46,33,24
3,2,4,46,39,18
3,3,4,34,42,27
4,0,1,15,65,26
4,0,2,26,53,27
4,0,3,15,74,17
4,1,2,52,35,19
4,1,3,33,43,30
4,2,3,26,55,25
5,0,1,41,38,20
5,0,2,44,34,21
5,0,3,45,29,25
5,0,4,60,21,18
5,1,2,44,24,31
5,1,3,40,32,27
5,1,4,58,12,29
5,2,3,33,42,24
5,2,4,44,22,33
5,3,4,54,20,25
6,0,1,25,30,23
6,0,2,28,25,25
6,0,3,20,36,22
6,0,4,28,25,25
6,1,2,33,21,24
6,1,3,24,34,20
6,1,4,31,22,25
6,2,3,20,35,23
6,2,4,21,21,36
6,3,4,34,19,25
7,0,1,37,11,24
7,0,2,29,23,20
7,0,3,28,18,26
7,0,4,25,23,24
7,1,2,16,34,22
7,1,3,16,36,20
7,1,4,14,39,19
7,2,3,22,22,28
7,2,4,23,24,25
7,3,4,25,28,19
8,0,1,29,11,12
8,0,2,24,17,11
8,0,3,28,11,13
8,0,4,27,14,11
8,1,2,13,27,12
8,1,3,19,19,14
8,1,4,18,24,10
8,2,3,25,11,16
8,2,4,20,17,15
8,3,4,16,21,15
9,0,1,39,42,32
9,0,2,54,34,25
9,0,3,35,53,25
9,0,4,30,55,28
9,1,2,56,32,25
9,1,3,36,47,30
9,1,4,34,47,32
9,2,3,25,55,33
9,2,4,25,61,27
9,3,4,40,46,27
10,0,1,62,11,15
10,0,2,30,39,19
10,0,3,53,10,25
10,0,4,54,17,17
10,1,2,8,64,16
10,1,3,21,35,32
10,1,4,18,43,27
10,2,3,54,14,20
10,2,4,55,15,18
10,3,4,24,44,20
11,0,1,16,59,27
11,0,2,47,25,30
11,0,3,22,61,19
11,0,4,30,51,21
11,1,2,74,10,18
11,1,3,39,33,30
11,1,4,53,29,20
11,2,3,15,71,16
11,2,4,24,59,19
11,3,4,46,28,28
12,0,1,47,37,17
12,0,2,32,37,32
12,0,3,59,27,15
12,0,4,54,18,29
12,1,2,37,39,25
12,1,3,59,25,17
12,1,4,54,32,15
12,2,3,58,26,17
12,2,4,56,23,22
12,3,4,38,46,17
13,0,1,22,50,32
13,0,2,30,55,19
13,1,2,43,40,21
14,0,1,33,35,35
14,0,2,57,25,21
14,0,3,40,34,29
14,0,4,34,38,31
14,1,2,52,28,23
14,1,3,40,40,23
14,1,4,39,34,30
14,2,3,28,57,18
14,2,4,26,50,27
14,3,4,41,39,23
15,0,1,32,42,24
15,0,2,35,33,30
15,0,3,30,39,29
15,0,4,36,37,25
15,1,2,40,34,24
15,1,3,31,33,34
15,1,4,34,30,34
15,2,3,35,43,20
15,2,4,38,36,24
15,3,4,42,36,20
16,0,1,56,15,20
16,0,2,24,41,26
16,0,3,38,27,26
16,0,4,41,26,24
16,1,2,15,59,17
16,1,3,18,40,33
16,1,4,16,40,35
16,2,3,47,18,26
16,2,4,50,16,25
16,3,4,32,31,28
17,0,1,7,80,14
17,0,2,13,67,21
17,0,3,18,55,28
17,0,4,11,77,13
17,1,2,56,25,20
17,1,3,60,21,20
17,1,4,37,43,21
17,2,3,44,27,30
17,2,4,19,55,27
17,3,4,20,66,15
18,0,1,19,60,21
18,0,2,46,22,32
18,0,3,23,64,13
18,0,4,11,71,18
18,1,2,75,11,14
18,1,3,45,30,25
18,1,4,32,43,25
18,2,3,18,71,11
18,2,4,9,77,14
18,3,4,26,50,24
19,0,1,66,23,24
19,0,2,26,65,22
19,0,3,72,16,25
19,1,2,12,83,18
19,1,3,53,34,26
19,2,3,88,13,12
20,0,1,68,17,11
20,0,2,33,39,24
20,0,3,38,33,25
20,0,4,39,32,25
20,1,2,18,67,11
20,1,3,20,65,11
20,1,4,13,61,22
20,2,3,43,27,26
20,2,4,39,32,25
20,3,4,33,39,24
21,0,1,59,26,20
21,0,2,63,21,21
21,0,3,59,15,31
21,0,4,76,13,16
21,1,2,50,31,24
21,1,3,49,31,25
21,1,4,59,17,29
21,2,3,35,39,31
21,2,4,43,30,32
21,3,4,44,25,36
22,0,1,28,40,30
22,0,2,44,28,26
22,0,3,39,28,31
22,1,2,44,25,29
22,1,3,47,26,25
22,2,3,32,39,27
23,0,1,13,61,27
23,0,2,5,72,24
23,1,2,32,44,25
24,0,1,17,44,39
24,0,2,15,61,24
24,0,3,26,48,26
24,1,2,22,50,28
24,1,3,31,36,33
24,2,3,44,20,36
25,0,1,29,45,14
25,0,2,40,19,29
25,0,3,32,41,15
25,0,4,11,57,20
25,1,2,59,12,17
25,1,3,42,30,16
25,1,4,20,51,17
25,2,3,16,51,21
25,2,4,8,71,9
25,3,4,21,49,18
26,0,1,26,22,30
26,0,2,20,39,19
26,0,3,31,21,26
26,0,4,17,37,24
26,1,2,17,40,21
26,1,3,33,29,16
26,1,4,23,38,17
26,2,3,39,14,25
26,2,4,31,28,19
26,3,4,18,39,21
27,0,1,3,12,5
27,0,2,2,11,7
27,0,3,4,9,7
27,1,2,9,8,3
27,1,3,9,7,4
27,2,3,10,2,8
28,0,1,36,38,29
28,0,2,38,42,23
28,0,3,29,45,29
28,0,4,17,59,27
28,1,2,32,42,29
28,1,3,34,43,26
28,1,4,20,57,26
28,2,3,39,39,25
28,2,4,24,58,21
28,3,4,20,50,33
29,0,1,8,56,16
29,0,2,9,66,5
29,0,3,13,53,14
29,0,4,9,59,12
29,1,2,28,36,16
29,1,3,41,24,15
29,1,4,25,36,19
29,2,3,47,12,21
29,2,4,30,27,23
29,3,4,15,40,25
30,0,1,38,30,31
30,0,2,52,24,23
30,0,3,57,19,23
30,0,4,17,64,18
30,1,2,46,23,30
30,1,3,55,19,25
30,1,4,14,68,17
30,2,3,37,27,35
30,2,4,8,73,18
30,3,4,11,76,12
31,0,1,20,59,31
31,0,2,15,72,23
31,0,3,15,61,34
31,1,2,28,49,33
31,1,3,33,41,36
31,2,3,54,32,24
32,0,1,41,29,34
32,0,2,48,28,28
32,0,3,32,36,36
32,1,2,42,29,33
32,1,3,29,42,33
32,2,3,32,50,22
33,0,1,17,56,29
33,0,2,14,62,26
33,0,3,50,19,33
33,0,4,22,51,29
33,1,2,28,43,31
33,1,3,70,9,23
33,1,4,39,36,27
33,2,3,76,6,20
33,2,4,43,27,32
33,3,4,9,69,24
34,0,1,63,17,22
34,0,2,48,25,29
34,0,3,42,38,22
34,0,4,75,8,19
34,1,2,27,50,25
34,1,3,19,64,19
34,1,4,52,26,24
34,2,3,29,52,21
34,2,4,67,16,19
34,3,4,74,13,15
35,0,1,28,61,25
35,0,2,62,21,31
35,0,3,48,34,32
35,1,2,84,15,15
35,1,3,67,24,23
35,2,3,25,61,28
36,0,1,24,43,35
36,0,2,29,46,27
36,0,3,32,37,33
36,1,2,35,36,31
36,1,3,42,28,32
36,2,3,46,32,24
37,0,1,26,70,10
37,0,2,42,40,24
37,1,2,73,16,17
38,0,1,21,42,16
38,0,2,25,40,14
38,1,2,27,23,29
39,0,1,31,12,14
39,0,2,27,16,14
39,0,3,31,7,19
39,1,2,13,25,19
39,1,3,22,15,20
39,2,3,24,14,19
40,0,1,44,35,24
40,0,2,21,52,30
40,0,3,44,33,26
40,1,2,15,57,31
40,1,3,36,43,24
40,2,3,62,23,18
41,0,1,46,27,28
41,0,2,28,61,12
41,1,2,17,65,19
42,0,1,48,26,30
42,0,2,25,52,27
42,0,3,36,43,25
42,0,4,49,38,17
42,1,2,15,73,16
42,1,3,26,58,20
42,1,4,26,52,26
42,2,3,52,24,28
42,2,4,64,18,22
42,3,4,48,36,20
43,0,1,30,24,41
43,0,2,20,47,28
43,0,3,15,38,42
43,0,4,51,7,37
43,1,2,15,53,27
43,1,3,21,48,26
43,1,4,43,6,46
43,2,3,35,29,31
43,2,4,65,4,26
43,3,4,61,6,28
44,0,1,43,8,40
44,0,2,24,34,33
44,0,3,36,20,35
44,1,2,9,50,32
44,1,3,13,35,43
44,2,3,38,20,33
45,0,1,53,23,27
45,0,2,33,43,27
45,0,3,46,33,24
45,0,4,41,44,18
45,1,2,19,59,25
45,1,3,25,44,34
45,1,4,23,60,20
45,2,3,52,22,29
45,2,4,47,35,21
45,3,4,33,45,25
46,0,1,28,37,29
46,0,2,25,47,22
46,0,3,46,24,24
46,0,4,43,23,28
46,1,2,28,39,27
46,1,3,47,16,31
46,1,4,48,15,31
46,2,3,55,16,23
46,2,4,59,13,22
46,3,4,39,31,24
47,0,1,57,22,26
47,0,2,32,43,30
47,0,3,61,21,23
47,1,2,15,58,32
47,1,3,41,39,25
47,2,3,63,19,23
48,0,1,33,36,31
