iteration,split_half_pairwise_agreement
0,0.82741117
1,0.82741117
2,0.8248731
3,0.86167513
4,0.84010152
5,0.82233503
6,0.81598985
7,0.84771574
8,0.82741117
9,0.8464467
10,0.83629442
11,0.81472081
12,0.83883249
13,0.8286802
14,0.82233503
15,0.84263959
16,0.81725888
17,0.80964467
18,0.81725888
19,0.8286802
20,0.82994924
21,0.81091371
22,0.81979695
23,0.83629442
24,0.83375635
25,0.81725888
26,0.82741117
27,0.82360406
28,0.81725888
29,0.81345178
30,0.83248731
31,0.81979695
32,0.84898477
33,0.82741117
34,0.82741117
35,0.81979695
36,0.81852792
37,0.82233503
38,0.83375635
39,0.83756345
40,0.81852792
41,0.84517766
42,0.81345178
43,0.80964467
44,0.8248731
45,0.84137056
46,0.82233503
47,0.82360406
48,0.80203046
49,0.80456853
50,0.8464467
51,0.83756345
52,0.82360406
53,0.81852792
54,0.8071066
55,0.8286802
56,0.85532995
57,0.81979695
58,0.82360406
59,0.8286802
60,0.83629442
61,0.80329949
62,0.83375635
63,0.79441624
64,0.84263959
65,0.84390863
66,0.82614213
67,0.82614213
68,0.82360406
69,0.83502538
70,0.83248731
71,0.82741117
72,0.82360406
73,0.83121827
74,0.82233503
75,0.83502538
76,0.81979695
77,0.81979695
78,0.81725888
79,0.82106599
80,0.83629442
81,0.81852792
82,0.84517766
83,0.83502538
84,0.82233503
85,0.81725888
86,0.81472081
87,0.81598985
88,0.84390863
89,0.79060914
90,0.81979695
91,0.81725888
92,0.83629442
93,0.81345178
94,0.81218274
95,0.8248731
96,0.84263959
97,0.8464467
98,0.82994924
99,0.82233503
100,0.80456853
101,0.80203046
102,0.85913706
103,0.81725888
104,0.83883249
105,0.83883249
106,0.83248731
107,0.80583756
108,0.80203046
109,0.81218274
110,0.8248731
111,0.83629442
112,0.82741117
113,0.82994924
114,0.84137056
115,0.80583756
116,0.8071066
117,0.80837563
118,0.83883249
119,0.82994924
120,0.82614213
121,0.84390863
122,0.83248731
123,0.78553299
124,0.83375635
125,0.82741117
126,0.83375635
127,0.84010152
128,0.83121827
129,0.83629442
130,0.8286802
131,0.84137056
132,0.83502538
133,0.8286802
134,0.80837563
135,0.85786802
136,0.82741117
137,0.81852792
138,0.79949239
139,0.80456853
140,0.84517766
141,0.83756345
142,0.8071066
143,0.81852792
144,0.82741117
145,0.80329949
146,0.83121827
147,0.83756345
148,0.82106599
149,0.81598985
150,0.82360406
151,0.84137056
152,0.82741117
153,0.8464467
154,0.85786802
155,0.81979695
156,0.84390863
157,0.82233503
158,0.82360406
159,0.83248731
160,0.81979695
161,0.81472081
162,0.81345178
163,0.83756345
164,0.81218274
165,0.82614213
166,0.84390863
167,0.81852792
168,0.83756345
169,0.8286802
170,0.82233503
171,0.8286802
172,0.80583756
173,0.81598985
174,0.84771574
175,0.83375635
176,0.82741117
177,0.85152284
178,0.83248731
179,0.82233503
