label,class_idx,metric,point,ci_lo,ci_hi
FART,0,support,1473.0,,
FART,0,precision,0.9442556084296397,0.9319264805990469,0.9552915807447424
FART,0,recall,0.9429735234215886,0.930227929887878,0.953710006807352
FART,0,f1,0.9436141304347826,0.9346246079784817,0.9516197489828433
FART,0,auroc,0.9789519068369359,0.973365571770189,0.9831396803841593
FART,1,support,233.0,,
FART,1,precision,0.8556701030927835,0.8,0.9005524861878453
FART,1,recall,0.7124463519313304,0.6513564166186722,0.7692307692307693
FART,1,f1,0.7775175644028103,0.7298540878825606,0.8192205473735177
FART,1,auroc,0.951343511158586,0.9323922644145718,0.9649025883024674
FART,2,support,238.0,,
FART,2,precision,0.897119341563786,0.8535066591039323,0.9307359307359307
FART,2,recall,0.9159663865546218,0.8765957446808511,0.9476873437425414
FART,2,f1,0.9064449064449065,0.8757471056935304,0.930327868852459
FART,2,auroc,0.9949479791916767,0.9920518232138833,0.9967923680007207
FART,3,support,6.0,,
FART,3,precision,1.0,0.0,1.0
FART,3,recall,0.3333333333333333,0.0,0.8
FART,3,f1,0.5,0.0,0.9147550839991779
FART,3,auroc,0.9887307236061684,0.9755772646536413,0.9993333333333334
FART,4,support,304.0,,
FART,4,precision,0.6976744186046512,0.6477611940298508,0.7442933336340826
FART,4,recall,0.7894736842105263,0.7403139196275821,0.8322228266202691
FART,4,f1,0.7407407407407407,0.7020280811232449,0.7776105268207509
FART,4,auroc,0.9581022267206477,0.9452762991315045,0.9672125764408964
GNN,0,support,1473.0,,
GNN,0,precision,0.9448183041722745,0.9321257502721402,0.9553892649857734
GNN,0,recall,0.9531568228105907,0.9412575415207529,0.9627371273712737
GNN,0,f1,0.9489692463670159,0.9404087181514915,0.9565508021390374
GNN,0,auroc,0.9806599890647967,0.9748234157858808,0.9848587325765407
GNN,1,support,233.0,,
GNN,1,precision,0.8693467336683417,0.8169014084507042,0.9105263157894737
GNN,1,recall,0.7424892703862661,0.6828923992471845,0.7955555555555556
GNN,1,f1,0.8009259259259259,0.7565011820330969,0.8387361006942872
GNN,1,auroc,0.9578248137050243,0.9393777726130758,0.9699958658612672
GNN,2,support,238.0,,
GNN,2,precision,0.9061224489795918,0.865546218487395,0.9385245901639344
GNN,2,recall,0.9327731092436975,0.8951612903225806,0.9595141700404858
GNN,2,f1,0.9192546583850931,0.8911345420718002,0.9419156057441903
GNN,2,auroc,0.9957524676537282,0.992774932973947,0.9974398995884795
GNN,3,support,6.0,,
GNN,3,precision,0.6666666666666666,0.0,1.0
GNN,3,recall,0.6666666666666666,0.0,1.0
GNN,3,f1,0.6666666666666666,0.0,0.8888888888888888
GNN,3,auroc,0.9879893238434163,0.928772414126845,1.0
GNN,4,support,304.0,,
GNN,4,precision,0.7358490566037735,0.6858057192869601,0.7819234427320245
GNN,4,recall,0.7697368421052632,0.7204184746744866,0.8143322475570033
GNN,4,f1,0.752411575562701,0.7121464226289518,0.7881385450410436
GNN,4,auroc,0.9661993927125505,0.9578738692308199,0.972846522200504
