category,product_code,true_rank,predicted_score
Bacon,1,3.0,7.85149628770371
Bacon,2,2.0,1.0774776413066157e-08
Bacon,3,1.0,7.345022026962914
Bacon,4,4.0,7.083433442088537
Bacon,5,10.0,8.079306116335971
Bacon,6,9.0,6.906577340238174
Bacon,7,6.0,8.924271197586274
Bacon,8,8.0,3.02650134537636
Bacon,9,5.0,7.029615018011641
Bacon,10,7.0,0.8867037051617047
Barista_Milk,1,2.0,0.4703236168025393
Barista_Milk,2,8.0,5.865516620903718
Barista_Milk,3,10.0,8.996116092526325
Barista_Milk,4,6.5,8.93335233712165
Barista_Milk,5,3.0,7.957042179579235
Barista_Milk,6,1.0,6.592059787712627
Barista_Milk,7,9.0,7.033662832315431
Barista_Milk,8,6.5,1.291414640596769
Barista_Milk,9,5.0,0.0106685257143514
Barista_Milk,10,4.0,5.886047375185428e-05
Bratwurst,1,6.0,2.952379022835303
Bratwurst,2,2.0,6.853704457534159
Bratwurst,3,5.0,0.7250988649638204
Bratwurst,4,4.0,0.3130860547218757
Bratwurst,5,8.0,3.5460411377047416
Bratwurst,6,1.0,3.879060823816301
Bratwurst,7,3.0,0.1209494757402978
Bratwurst,8,9.0,7.999999999981682
Bratwurst,9,7.0,1.8258155698327752
Breaded_Chicken_Filet,1,3.0,0.9282626357776136
Breaded_Chicken_Filet,2,1.0,2.7441170065777554
Breaded_Chicken_Filet,3,4.0,2.999994763000915
Breaded_Chicken_Filet,4,2.0,2.999996000757042
Breaded_Chicken_Filet,5,5.0,3.99999919041104
Breakfast_Sausages,1,1.0,4.469827948999511
Breakfast_Sausages,2,7.0,8.759212784087108
Breakfast_Sausages,3,6.0,8.996058666948962
Breakfast_Sausages,4,10.0,5.741394180589079
Breakfast_Sausages,5,5.0,4.4423075695834436e-11
Breakfast_Sausages,6,9.0,2.7348011377833332
Breakfast_Sausages,7,3.0,8.823938619498913
Breakfast_Sausages,8,2.0,4.069620234037667
Breakfast_Sausages,9,8.0,2.032028342246886
Breakfast_Sausages,10,4.0,3.899273265734204e-07
Burgers,1,2.0,3.019966584123102
Burgers,2,3.0,1.69037797914477
Burgers,3,8.0,4.06479563993459
Burgers,4,9.0,8.999998693026724
Burgers,5,1.0,2.98501294968139e-08
Burgers,6,10.0,6.162258493948849
Burgers,7,7.0,3.91221874349983
Burgers,8,6.0,8.703271352821478
Burgers,9,5.0,8.999989610256057
Burgers,10,4.0,1.448643195158262
Butter,1,2.0,2.9991155626884436
Butter,2,4.0,0.0026381019743265
Butter,3,10.0,4.092963306283735
Butter,4,8.0,3.87464352607304
Butter,5,9.0,4.022018362621997
Butter,6,7.0,4.052458166305402
Butter,7,5.0,6.64844605585328
Butter,8,6.0,6.991238370753438
Butter,9,1.0,2.9554982170030684
Butter,10,3.0,3.000135134280121
Cheddar_Cheese,1,5.5,4.80846968121722
Cheddar_Cheese,2,1.0,2.0455135504544195
Cheddar_Cheese,3,5.5,1.720389531312628
Cheddar_Cheese,4,4.0,4.6934629490678885
Cheddar_Cheese,5,2.0,0.0476967175720689
Cheddar_Cheese,6,8.0,6.991398638419113
Cheddar_Cheese,7,3.0,0.1712984553492184
Cheddar_Cheese,8,7.0,1.4633474096800272e-05
Chicken_Strips,1,2.0,1.6918793746589915
Chicken_Strips,2,10.0,8.27404461573765
Chicken_Strips,3,5.0,2.285382800107782
Chicken_Strips,4,4.0,3.347705966439198
Chicken_Strips,5,7.0,5.035321870299985
Chicken_Strips,6,8.0,5.633610320741243
Chicken_Strips,7,9.0,4.189686599308928
Chicken_Strips,8,3.0,1.26572435314934
