category,product_code,true_rank,predicted_score
Bacon,1,3.0,6.1544845878924
Bacon,2,2.0,0.3802500202742358
Bacon,3,1.0,8.996486979992186
Bacon,4,4.0,5.4324996775906085
Bacon,5,10.0,8.779560286565319
Bacon,6,9.0,0.7810691685738989
Bacon,7,6.0,7.846337873989653
Bacon,8,8.0,4.596900913768607
Bacon,9,5.0,1.1696055641691196
Bacon,10,7.0,1.1228348792511846
Barista_Milk,1,2.0,3.2203861939260587
Barista_Milk,2,8.0,5.945677841953086
Barista_Milk,3,10.0,5.906324734719566
Barista_Milk,4,6.5,6.097432614523882
Barista_Milk,5,3.0,6.482658438760034
Barista_Milk,6,1.0,2.616205571318215
Barista_Milk,7,9.0,7.325532021595046
Barista_Milk,8,6.5,6.18699796741833
Barista_Milk,9,5.0,4.6270096909146075
Barista_Milk,10,4.0,0.4445744456927999
Bratwurst,1,6.0,4.784063658821093
Bratwurst,2,2.0,5.482086335771247
Bratwurst,3,5.0,5.065885175749871
Bratwurst,4,4.0,1.7670301629999372
Bratwurst,5,8.0,3.1916800181209295
Bratwurst,6,1.0,3.867505205602659
Bratwurst,7,3.0,0.0009002146000198
Bratwurst,8,9.0,7.981452552478187
Bratwurst,9,7.0,4.4491581023613005
Breaded_Chicken_Filet,1,3.0,3.914088979891576
Breaded_Chicken_Filet,2,1.0,1.400069791161827
Breaded_Chicken_Filet,3,4.0,3.708515423533924
Breaded_Chicken_Filet,4,2.0,0.7200842053217954
Breaded_Chicken_Filet,5,5.0,1.502331296915384
Breakfast_Sausages,1,1.0,8.998902207314508
Breakfast_Sausages,2,7.0,5.272424441666666
Breakfast_Sausages,3,6.0,7.543342012467438
Breakfast_Sausages,4,10.0,6.253358828603975
Breakfast_Sausages,5,5.0,3.4790776169903666e-06
Breakfast_Sausages,6,9.0,4.753545735301945
Breakfast_Sausages,7,3.0,5.514804521265837
Breakfast_Sausages,8,2.0,1.4984954613301835
Breakfast_Sausages,9,8.0,5.993225105035944
Breakfast_Sausages,10,4.0,0.0232830675781467
Burgers,1,2.0,0.9002104847070987
Burgers,2,3.0,5.023013444157196
Burgers,3,8.0,3.936304179018387
Burgers,4,9.0,8.947972072055816
Burgers,5,1.0,0.347627599467272
Burgers,6,10.0,7.330162995372593
Burgers,7,7.0,4.616051826209385
Burgers,8,6.0,8.475278807988088
Burgers,9,5.0,6.933012261352388
Burgers,10,4.0,5.109122502524679
Butter,1,2.0,3.0829395392763974
Butter,2,4.0,3.7138471267114217
Butter,3,10.0,4.378382863408861
Butter,4,8.0,4.037863822730333
Butter,5,9.0,6.244779271989008
Butter,6,7.0,8.840159234517733
Butter,7,5.0,4.032685388749992
Butter,8,6.0,4.719952607084895
Butter,9,1.0,0.5257508398693848
Butter,10,3.0,3.369964812128369
Cheddar_Cheese,1,5.5,6.413587986077896
Cheddar_Cheese,2,1.0,3.09743596392459
Cheddar_Cheese,3,5.5,3.2080231771383567
Cheddar_Cheese,4,4.0,4.163622180451979
Cheddar_Cheese,5,2.0,2.594231096101735
Cheddar_Cheese,6,8.0,5.4113333959047
Cheddar_Cheese,7,3.0,2.687440751583913
Cheddar_Cheese,8,7.0,1.213081147395968
Chicken_Strips,1,2.0,1.725706420034585
Chicken_Strips,2,10.0,6.551630999825405
Chicken_Strips,3,5.0,1.6534879825823916
Chicken_Strips,4,4.0,4.368453053552567
Chicken_Strips,5,7.0,4.776220269228915
Chicken_Strips,6,8.0,0.2294788194378141
Chicken_Strips,7,9.0,3.7670241521217247
Chicken_Strips,8,3.0,5.4762161941862875
Chicken_Strips,9,6.0,6.174542703944141
Chicken_Strips,10,1.0,8.527452089005578
Cream_Cheese,1,2.0,3.366011540256465
Cream_Cheese,2,10.0,4.44982742701773
Cream_Cheese,3,4.0,3.2884616406524048
Cream_Cheese,4,9.0,4.590938460094976
Cream_Cheese,5,8.0,6.602825058397273
Cream_Cheese,6,7.0,8.966373117075234
Cream_Cheese,7,1.0,1.43740799805389e-08
Cream_Cheese,8,3.0,6.258303962105106
Cream_Cheese,9,5.0,2.7404010381130357
Cream_Cheese,10,6.0,5.8273279686239405
Creamer,1,1.0,2.1023166782996117
Creamer,2,4.0,6.660654175189803
Creamer,3,9.0,2.9946345280729822
Creamer,4,8.0,7.977717821443106
Creamer,5,2.0,0.0071489571059279
Creamer,6,5.0,5.806576827176823
Creamer,7,6.0,3.11825678423482
Creamer,8,7.0,4.332976911315645
Creamer,9,3.0,2.8548790524976972
Deli_Ham,1,8.0,6.60822131586255
Deli_Ham,2,3.5,3.367016013551149e-05
Deli_Ham,3,3.5,3.1822196338750217
Deli_Ham,4,5.0,6.356553017846326
Deli_Ham,5,6.0,1.9835857944480684
Deli_Ham,6,9.0,5.760679455100922
Deli_Ham,7,1.0,3.777168013658713
Deli_Ham,8,2.0,4.6803286922918215
Deli_Ham,9,7.0,3.097867380944243
Deli_Turkey,1,7.0,4.9572702551239365
Deli_Turkey,2,3.0,1.6005851824347397
Deli_Turkey,3,6.0,5.998220331250042
Deli_Turkey,4,5.0,1.440794744944755
Deli_Turkey,5,2.0,3.7922156668532345
Deli_Turkey,6,1.0,4.899821156622699
Deli_Turkey,7,4.0,1.042572819425453
Hot_Dogs,1,4.0,3.2534499263536794
Hot_Dogs,2,5.0,3.643587681412347
Hot_Dogs,3,8.0,6.723383438435983
Hot_Dogs,4,6.0,6.464728288687693
Hot_Dogs,5,10.0,7.0210948106940645
Hot_Dogs,6,7.0,4.327624010388651
Hot_Dogs,7,2.0,0.0026877623522
Hot_Dogs,8,1.0,3.192262047047385
Hot_Dogs,9,3.0,2.376691803316896
Hot_Dogs,10,9.0,2.570727306606907
Ice_Cream_Hard_Serve,1,10.0,7.326237266051391
Ice_Cream_Hard_Serve,2,8.0,1.4273326871481813
Ice_Cream_Hard_Serve,3,3.0,4.785146390393546
Ice_Cream_Hard_Serve,4,7.0,0.0321802187044444
Ice_Cream_Hard_Serve,5,6.0,6.028694499194322
Ice_Cream_Hard_Serve,6,1.0,4.427943783396
Ice_Cream_Hard_Serve,7,9.0,6.725505098045128
Ice_Cream_Hard_Serve,8,5.0,7.28766509248288
Ice_Cream_Hard_Serve,9,2.0,5.08325402453895
Ice_Cream_Hard_Serve,10,4.0,5.827667391315501
Meatballs,1,1.0,1.243520798309354
Meatballs,2,3.0,3.989972499468184
Meatballs,3,5.0,1.8462995083275804
