category,product_code,true_rank,predicted_score
Bacon,1,3.0,3.113556133973014
Bacon,2,2.0,2.968654109723569
Bacon,3,1.0,3.434891008492799
Bacon,4,4.0,2.7092280807235114
Bacon,5,10.0,3.1673803590318728
Bacon,6,9.0,2.8391639803613637
Bacon,7,6.0,3.170734729386255
Bacon,8,8.0,2.9174584435151636
Bacon,9,5.0,3.130882991345494
Bacon,10,7.0,3.757870864650444
Barista_Milk,1,2.0,4.08881146027666
Barista_Milk,2,8.0,3.9862502396181254
Barista_Milk,3,10.0,4.507841866341015
Barista_Milk,4,6.5,3.615070967997494
Barista_Milk,5,3.0,3.723114497644774
Barista_Milk,6,1.0,3.885492766826302
Barista_Milk,7,9.0,3.676900163717893
Barista_Milk,8,6.5,4.32517267040146
Barista_Milk,9,5.0,3.809802477929664
Barista_Milk,10,4.0,3.3101664239070323
Bratwurst,1,6.0,3.2697191188037213
Bratwurst,2,2.0,3.1739694194140187
Bratwurst,3,5.0,3.296861152684765
Bratwurst,4,4.0,3.4716997371812135
Bratwurst,5,8.0,3.3941386196617027
Bratwurst,6,1.0,3.6329775369207065
Bratwurst,7,3.0,3.5784914187533388
Bratwurst,8,9.0,3.6493981697369033
Bratwurst,9,7.0,3.7137588046617376
Breaded_Chicken_Filet,1,3.0,3.3547481679499827
Breaded_Chicken_Filet,2,1.0,3.229612889176133
Breaded_Chicken_Filet,3,4.0,3.3714550471551115
Breaded_Chicken_Filet,4,2.0,3.628477291836828
Breaded_Chicken_Filet,5,5.0,3.456242146484357
Breakfast_Sausages,1,1.0,3.817042927961293
Breakfast_Sausages,2,7.0,3.703277335348479
Breakfast_Sausages,3,6.0,3.2624455038450018
Breakfast_Sausages,4,10.0,3.4040801670782774
Breakfast_Sausages,5,5.0,3.4245374860811775
Breakfast_Sausages,6,9.0,3.600666507596161
Breakfast_Sausages,7,3.0,3.010454561727876
Breakfast_Sausages,8,2.0,3.312444494507361
Breakfast_Sausages,9,8.0,3.484980441987179
Breakfast_Sausages,10,4.0,2.973035878834477
Burgers,1,2.0,3.3208183516537932
Burgers,2,3.0,3.5370441266567596
Burgers,3,8.0,3.4348706296749767
Burgers,4,9.0,3.811052857516953
Burgers,5,1.0,3.574034840556427
Burgers,6,10.0,3.738830834089323
Burgers,7,7.0,3.578329682554903
Burgers,8,6.0,3.628771432685867
Burgers,9,5.0,3.339586502103155
Burgers,10,4.0,3.345224928195352
Butter,1,2.0,4.534569026948262
Butter,2,4.0,5.106034660716562
Butter,3,10.0,4.414222003404265
Butter,4,8.0,4.625660220586512
Butter,5,9.0,4.6231004713439665
Butter,6,7.0,4.2342869135510375
Butter,7,5.0,4.365616845819541
Butter,8,6.0,4.484630312626211
Butter,9,1.0,4.072345184513375
Butter,10,3.0,4.4644981223105455
Cheddar_Cheese,1,5.5,3.783176255843154
