category,product_code,true_rank,predicted_score
Bacon,1,3.0,4.257106791601787
Bacon,2,2.0,0.8792092352416176
Bacon,3,1.0,4.033513763456759
Bacon,4,4.0,2.497707735422652
Bacon,5,10.0,2.920983459982008
Bacon,6,9.0,2.317269344143301
Bacon,7,6.0,2.959907588973976
Bacon,8,8.0,1.9995576203085088
Bacon,9,5.0,3.159490430799979
Bacon,10,7.0,3.376079652884284
Barista_Milk,1,2.0,3.5317505035146355
Barista_Milk,2,8.0,3.648949604228667
Barista_Milk,3,10.0,6.5840012488407025
Barista_Milk,4,6.5,4.347987736579754
Barista_Milk,5,3.0,4.1151480064621895
Barista_Milk,6,1.0,4.6651484470204885
Barista_Milk,7,9.0,4.42693469397431
Barista_Milk,8,6.5,3.8802002369157824
Barista_Milk,9,5.0,3.092833892227523
Barista_Milk,10,4.0,2.924849342160583
Bratwurst,1,6.0,2.444387592211455
Bratwurst,2,2.0,3.6779963811556
Bratwurst,3,5.0,2.634534342940364
Bratwurst,4,4.0,2.3815395779202104
Bratwurst,5,8.0,2.8599001162662794
Bratwurst,6,1.0,4.0706058165353465
Bratwurst,7,3.0,1.0714968408270256
Bratwurst,8,9.0,6.070728040364392
Bratwurst,9,7.0,4.043948547446225
Breaded_Chicken_Filet,1,3.0,3.3398364754866146
Breaded_Chicken_Filet,2,1.0,2.8306942446302
Breaded_Chicken_Filet,3,4.0,3.2698854758647764
Breaded_Chicken_Filet,4,2.0,4.136926856414113
Breaded_Chicken_Filet,5,5.0,4.55498360150392
Breakfast_Sausages,1,1.0,3.608192253022099
Breakfast_Sausages,2,7.0,4.063637414595003
Breakfast_Sausages,3,6.0,4.915887135162334
Breakfast_Sausages,4,10.0,3.4550993755098274
Breakfast_Sausages,5,5.0,2.2937805822430253
Breakfast_Sausages,6,9.0,3.8333815403727542
Breakfast_Sausages,7,3.0,4.0457794562066365
Breakfast_Sausages,8,2.0,2.11697686862297
Breakfast_Sausages,9,8.0,2.888713330669336
Breakfast_Sausages,10,4.0,2.126709669007213
Burgers,1,2.0,3.054695598391626
Burgers,2,3.0,2.5765469674095307
Burgers,3,8.0,3.1284274687296545
Burgers,4,9.0,5.2685748695499095
Burgers,5,1.0,2.731895765084144
Burgers,6,10.0,3.5366293739340597
Burgers,7,7.0,4.292621303276908
Burgers,8,6.0,4.35684413393781
Burgers,9,5.0,4.733289072589597
Burgers,10,4.0,2.609490142016208
Butter,1,2.0,4.068209855966795
Butter,2,4.0,3.0922396693818213
Butter,3,10.0,5.712859175886338
Butter,4,8.0,4.629455823306109
Butter,5,9.0,4.444052867389826
Butter,6,7.0,5.157195331683418
Butter,7,5.0,3.389360072289953
Butter,8,6.0,5.385822737142812
Butter,9,1.0,3.5976556225768683
Butter,10,3.0,5.089095842319737
Cheddar_Cheese,1,5.5,4.138475261807077
Cheddar_Cheese,2,1.0,4.275627531079317
Cheddar_Cheese,3,5.5,4.905281336446688
Cheddar_Cheese,4,4.0,6.18639755341812
Cheddar_Cheese,5,2.0,4.349218950603361
Cheddar_Cheese,6,8.0,5.158232360215626
Cheddar_Cheese,7,3.0,4.1029416702023385
Cheddar_Cheese,8,7.0,3.3284685325842616
Chicken_Strips,1,2.0,2.924128402850134
Chicken_Strips,2,10.0,3.908226280786309
Chicken_Strips,3,5.0,2.548062573347549
Chicken_Strips,4,4.0,3.2236824291676953
Chicken_Strips,5,7.0,3.4324829432952013
Chicken_Strips,6,8.0,2.4394094207403687
Chicken_Strips,7,9.0,3.256322504056924
Chicken_Strips,8,3.0,2.4997993077871854
Chicken_Strips,9,6.0,4.068738757951003
Chicken_Strips,10,1.0,4.238317811008228
Cream_Cheese,1,2.0,3.360268343578864
Cream_Cheese,2,10.0,5.769489505192537
Cream_Cheese,3,4.0,3.970428999337894
Cream_Cheese,4,9.0,4.489638357978629
Cream_Cheese,5,8.0,2.668674887569116
Cream_Cheese,6,7.0,5.284423775814554
Cream_Cheese,7,1.0,1.854532519430358
Cream_Cheese,8,3.0,4.955912234437852
Cream_Cheese,9,5.0,2.3515895054653413
Cream_Cheese,10,6.0,4.455862937642936
Creamer,1,1.0,3.203478890727351
Creamer,2,4.0,4.142963580411154
Creamer,3,9.0,4.4651933621061985
Creamer,4,8.0,5.019405952456761
Creamer,5,2.0,1.8485044100794423
Creamer,6,5.0,5.869328562623071
Creamer,7,6.0,4.842593347038786
Creamer,8,7.0,4.766028822221196
Creamer,9,3.0,5.659454032218041
Deli_Ham,1,8.0,4.157267917553908
Deli_Ham,2,3.5,3.3431660873798905
Deli_Ham,3,3.5,3.374234515248806
Deli_Ham,4,5.0,3.936182612598491
Deli_Ham,5,6.0,4.2916401742141606
Deli_Ham,6,9.0,2.6094331423707295
Deli_Ham,7,1.0,3.0456358705863806
Deli_Ham,8,2.0,1.4178743160460687
Deli_Ham,9,7.0,3.607832357102602
Deli_Turkey,1,7.0,4.138849323612113
Deli_Turkey,2,3.0,3.671213286407738
Deli_Turkey,3,6.0,4.614429540917766
Deli_Turkey,4,5.0,3.5593997642092434
Deli_Turkey,5,2.0,3.5773902135344264
Deli_Turkey,6,1.0,2.3560165482275055
Deli_Turkey,7,4.0,2.621741987861386
Hot_Dogs,1,4.0,1.855205383013421
Hot_Dogs,2,5.0,3.0537605552272655
Hot_Dogs,3,8.0,3.190796726958206
Hot_Dogs,4,6.0,3.692572488383421
