category,product_code,true_rank,predicted_score
Bacon,1,3.0,6.8294043062837675
Bacon,2,2.0,0.0110119957657683
Bacon,3,1.0,8.95207439842098
Bacon,4,4.0,4.377308674173706
Bacon,5,10.0,8.980017644913818
Bacon,6,9.0,0.4802573926388166
Bacon,7,6.0,7.954250736842385
Bacon,8,8.0,5.12769547087289
Bacon,9,5.0,0.770797453563114
Bacon,10,7.0,0.9350100711390816
Barista_Milk,1,2.0,4.173544715208058
Barista_Milk,2,8.0,7.6012426529372465
Barista_Milk,3,10.0,7.441217036017411
Barista_Milk,4,6.5,6.934402487454364
Barista_Milk,5,3.0,6.1733918470314935
Barista_Milk,6,1.0,5.644194465378545
Barista_Milk,7,9.0,4.248732112124398
Barista_Milk,8,6.5,7.058321727022937
Barista_Milk,9,5.0,0.5576572688810973
Barista_Milk,10,4.0,6.340738146861777e-06
Bratwurst,1,6.0,5.252900561206228
Bratwurst,2,2.0,6.108524078507314
Bratwurst,3,5.0,2.8954495504825477
Bratwurst,4,4.0,1.7423571163711848
Bratwurst,5,8.0,3.7073077770141154
Bratwurst,6,1.0,4.459908600831167
Bratwurst,7,3.0,0.0003607657999526
Bratwurst,8,9.0,7.998077719522868
Bratwurst,9,7.0,4.353669326759499
Breaded_Chicken_Filet,1,3.0,3.910759054210644
Breaded_Chicken_Filet,2,1.0,1.7627292105684431
Breaded_Chicken_Filet,3,4.0,2.740692146888981
Breaded_Chicken_Filet,4,2.0,0.8365254348776121
Breaded_Chicken_Filet,5,5.0,1.313005580885945
Breakfast_Sausages,1,1.0,8.999886480352961
Breakfast_Sausages,2,7.0,5.3854064920895475
Breakfast_Sausages,3,6.0,8.236171817159171
Breakfast_Sausages,4,10.0,6.061483354977044
Breakfast_Sausages,5,5.0,1.5518675838296778e-06
Breakfast_Sausages,6,9.0,4.9054532901405725
Breakfast_Sausages,7,3.0,4.779717017188983
Breakfast_Sausages,8,2.0,0.959481838679948
Breakfast_Sausages,9,8.0,5.299114109579196
Breakfast_Sausages,10,4.0,0.170600177774928
Burgers,1,2.0,1.1472440735331983
Burgers,2,3.0,5.644291662221823
Burgers,3,8.0,3.9326847993921072
Burgers,4,9.0,8.436290455025338
Burgers,5,1.0,0.4093921253037449
Burgers,6,10.0,6.983660476932277
Burgers,7,7.0,4.137787949778042
Burgers,8,6.0,8.992838781968187
Burgers,9,5.0,5.329711712609623
Burgers,10,4.0,4.714256747204744
Butter,1,2.0,3.0248037445226448
Butter,2,4.0,3.3371749626768277
Butter,3,10.0,5.1470326131264486
Butter,4,8.0,4.664225429145376
Butter,5,9.0,5.997959671281199
Butter,6,7.0,7.963163102388661
Butter,7,5.0,3.8470967776292144
Butter,8,6.0,6.167019078972682
Butter,9,1.0,0.0227883670965049
Butter,10,3.0,7.504771701103402
Cheddar_Cheese,1,5.5,6.525602528718656
Cheddar_Cheese,2,1.0,3.544740342189151
Cheddar_Cheese,3,5.5,3.0860638057310275
Cheddar_Cheese,4,4.0,4.002603706180505
Cheddar_Cheese,5,2.0,3.1741391966783894
Cheddar_Cheese,6,8.0,5.320918821201796
Cheddar_Cheese,7,3.0,1.9473698695679136
Cheddar_Cheese,8,7.0,1.7152032923540252
Chicken_Strips,1,2.0,1.2813768940755528
Chicken_Strips,2,10.0,5.564154986157458
Chicken_Strips,3,5.0,1.8355266042692528
Chicken_Strips,4,4.0,5.450076919819953
Chicken_Strips,5,7.0,4.661953299096475
Chicken_Strips,6,8.0,0.2158373451631019
Chicken_Strips,7,9.0,4.94610353026669
Chicken_Strips,8,3.0,4.978407507694728
Chicken_Strips,9,6.0,6.379216295654618
