category,product_code,true_rank,predicted_score
Bacon,1,3.0,4.9232155113639875
Bacon,2,2.0,2.763336924409735
Bacon,3,1.0,2.48303101243214
Bacon,4,4.0,2.5843795862156096
Bacon,5,10.0,7.365368193736239
Bacon,6,9.0,5.389827907572716
Bacon,7,6.0,6.837112660064047
Bacon,8,8.0,5.532362441253442
Bacon,9,5.0,3.668184039396523
Bacon,10,7.0,4.560007827321263
Barista_Milk,1,2.0,3.1216953243453336
Barista_Milk,2,8.0,5.881709345147724
Barista_Milk,3,10.0,6.310061341931516
Barista_Milk,4,6.5,5.145143977888885
Barista_Milk,5,3.0,4.575457801124415
Barista_Milk,6,1.0,6.216003992633217
Barista_Milk,7,9.0,5.444497275480006
Barista_Milk,8,6.5,7.511599126393396
Barista_Milk,9,5.0,3.1702878290697325
Barista_Milk,10,4.0,0.7811732207647397
Bratwurst,1,6.0,3.9925707903332066
Bratwurst,2,2.0,4.79551209190469
Bratwurst,3,5.0,1.9011423474146056
Bratwurst,4,4.0,2.7915399928301667
Bratwurst,5,8.0,5.262396264310793
Bratwurst,6,1.0,4.759692264713221
Bratwurst,7,3.0,1.1520162982101143
Bratwurst,8,9.0,7.260539363325881
Bratwurst,9,7.0,4.991586104092367
Breaded_Chicken_Filet,1,3.0,2.40931658519034
Breaded_Chicken_Filet,2,1.0,2.626686026384321
Breaded_Chicken_Filet,3,4.0,2.782372298188167
Breaded_Chicken_Filet,4,2.0,1.6960186008538018
Breaded_Chicken_Filet,5,5.0,1.5181623093063443
Breakfast_Sausages,1,1.0,6.723651367344452
Breakfast_Sausages,2,7.0,4.89410156849881
Breakfast_Sausages,3,6.0,6.634652130416546
Breakfast_Sausages,4,10.0,6.343066623159613
Breakfast_Sausages,5,5.0,0.852116222195969
Breakfast_Sausages,6,9.0,3.599684782436966
Breakfast_Sausages,7,3.0,4.6247396293141625
Breakfast_Sausages,8,2.0,3.6260813095674393
Breakfast_Sausages,9,8.0,6.56362235481286
Breakfast_Sausages,10,4.0,1.7483747662400655
Burgers,1,2.0,2.514634872328944
Burgers,2,3.0,6.5377439666928066
Burgers,3,8.0,2.959251661154386
