category,product_code,true_rank,predicted_score
Bacon,1,3.0,-0.75
Bacon,2,2.0,-0.4722222222222221
Bacon,3,1.0,-0.3888888888888888
Bacon,4,4.0,-0.4444444444444445
Bacon,5,10.0,-0.3888888888888888
Bacon,6,9.0,-0.5277777777777778
Bacon,7,6.0,-0.7222222222222222
Bacon,8,8.0,-0.6666666666666666
Bacon,9,5.0,-0.5
Bacon,10,7.0,-0.5833333333333334
Barista_Milk,1,2.0,-0.7916666666666667
Barista_Milk,2,8.0,-0.3686868686868687
Barista_Milk,3,10.0,-0.5202020202020202
Barista_Milk,4,6.5,-0.3459595959595959
Barista_Milk,5,3.0,-0.6893939393939394
Barista_Milk,6,1.0,-0.5606060606060607
Barista_Milk,7,9.0,-0.51010101010101
Barista_Milk,8,6.5,-0.5454545454545454
Barista_Milk,9,5.0,-0.7196969696969697
Barista_Milk,10,4.0,-0.5429292929292929
Bratwurst,1,6.0,-0.3333333333333333
Bratwurst,2,2.0,-0.787878787878788
Bratwurst,3,5.0,-0.6363636363636364
Bratwurst,4,4.0,-0.6666666666666666
Bratwurst,5,8.0,-0.5454545454545455
Bratwurst,6,1.0,-0.4545454545454546
Bratwurst,7,3.0,-0.4848484848484848
Bratwurst,8,9.0,-0.7272727272727274
Bratwurst,9,7.0,-0.2727272727272727
Breaded_Chicken_Filet,1,3.0,-0.5714285714285714
Breaded_Chicken_Filet,2,1.0,-0.5238095238095238
Breaded_Chicken_Filet,3,4.0,-0.5238095238095237
Breaded_Chicken_Filet,4,2.0,-0.6190476190476191
Breaded_Chicken_Filet,5,5.0,-0.619047619047619
Breakfast_Sausages,1,1.0,-0.5833333333333334
Breakfast_Sausages,2,7.0,-0.5277777777777778
Breakfast_Sausages,3,6.0,-0.6111111111111112
Breakfast_Sausages,4,10.0,-0.3333333333333333
Breakfast_Sausages,5,5.0,-0.5
Breakfast_Sausages,6,9.0,-0.6111111111111112
Breakfast_Sausages,7,3.0,-0.5833333333333334
Breakfast_Sausages,8,2.0,-0.5555555555555555
Breakfast_Sausages,9,8.0,-0.5
Breakfast_Sausages,10,4.0,-0.6944444444444445
Burgers,1,2.0,-0.5416666666666666
Burgers,2,3.0,-0.3333333333333333
Burgers,3,8.0,-0.3333333333333333
Burgers,4,9.0,-0.5
Burgers,5,1.0,-0.875
Burgers,6,10.0,-0.75
Burgers,7,7.0,-0.6666666666666667
Burgers,8,6.0,-0.5
Burgers,9,5.0,-0.4166666666666666
Burgers,10,4.0,-0.5
Butter,1,2.0,-0.6944444444444443
Butter,2,4.0,-0.5
Butter,3,10.0,-0.5555555555555555
Butter,4,8.0,-0.4722222222222221
Butter,5,9.0,-0.5833333333333334
Butter,6,7.0,-0.5555555555555556
Butter,7,5.0,-0.5833333333333334
Butter,8,6.0,-0.3888888888888888
Butter,9,1.0,-0.7777777777777778
Butter,10,3.0,-0.3888888888888889
Cheddar_Cheese,1,5.5,-0.5
Cheddar_Cheese,2,1.0,-0.6666666666666666
Cheddar_Cheese,3,5.5,-0.6111111111111112
Cheddar_Cheese,4,4.0,-0.611111111111111
Cheddar_Cheese,5,2.0,-0.5833333333333334
Cheddar_Cheese,6,8.0,-0.4722222222222222
Cheddar_Cheese,7,3.0,-0.6111111111111112
Cheddar_Cheese,8,7.0,-0.7777777777777778
Chicken_Strips,1,2.0,-0.5757575757575758
Chicken_Strips,2,10.0,-0.5883838383838385
Chicken_Strips,3,5.0,-0.6237373737373737
Chicken_Strips,4,4.0,-0.5808080808080808
Chicken_Strips,5,7.0,-0.4166666666666666
Chicken_Strips,6,8.0,-0.51010101010101
Chicken_Strips,7,9.0,-0.5505050505050505
Chicken_Strips,8,3.0,-0.6010101010101009
Chicken_Strips,9,6.0,-0.5429292929292929
Chicken_Strips,10,1.0,-0.4242424242424242
Cream_Cheese,1,2.0,-0.7222222222222222
Cream_Cheese,2,10.0,-0.5555555555555555
Cream_Cheese,3,4.0,-0.6111111111111112
Cream_Cheese,4,9.0,-0.638888888888889
Cream_Cheese,5,8.0,-0.4444444444444444
Cream_Cheese,6,7.0,-0.3888888888888889
Cream_Cheese,7,1.0,-0.6388888888888888
Cream_Cheese,8,3.0,-0.5
Cream_Cheese,9,5.0,-0.25
Cream_Cheese,10,6.0,-0.7222222222222222
Creamer,1,1.0,-0.4722222222222222
Creamer,2,4.0,-0.611111111111111
Creamer,3,9.0,-0.5277777777777778
Creamer,4,8.0,-0.5277777777777778
Creamer,5,2.0,-0.5000000000000001
Creamer,6,5.0,-0.7222222222222223
Creamer,7,6.0,-0.638888888888889
Creamer,8,7.0,-0.6388888888888888
Creamer,9,3.0,-0.6666666666666666
Deli_Ham,1,8.0,-0.6868686868686869
Deli_Ham,2,3.5,-0.3737373737373737
Deli_Ham,3,3.5,-0.6212121212121212
Deli_Ham,4,5.0,-0.5
Deli_Ham,5,6.0,-0.6717171717171717
Deli_Ham,6,9.0,-0.5454545454545454
Deli_Ham,7,1.0,-0.5
Deli_Ham,8,2.0,-0.7727272727272727
Deli_Ham,9,7.0,-0.2272727272727272
Deli_Turkey,1,7.0,-0.3703703703703703
Deli_Turkey,2,3.0,-0.5185185185185185
Deli_Turkey,3,6.0,-0.5555555555555556
Deli_Turkey,4,5.0,-0.7407407407407408
Deli_Turkey,5,2.0,-0.8518518518518517
Deli_Turkey,6,1.0,-0.2962962962962963
Deli_Turkey,7,4.0,-0.6296296296296297
Hot_Dogs,1,4.0,-0.6
Hot_Dogs,2,5.0,-0.625
Hot_Dogs,3,8.0,-0.4555555555555555
Hot_Dogs,4,6.0,-0.4277777777777777
Hot_Dogs,5,10.0,-0.5499999999999999
Hot_Dogs,6,7.0,-0.5333333333333333
Hot_Dogs,7,2.0,-0.7444444444444445
Hot_Dogs,8,1.0,-0.5444444444444445
Hot_Dogs,9,3.0,-0.5
Hot_Dogs,10,9.0,-0.5416666666666667
Ice_Cream_Hard_Serve,1,10.0,-0.3888888888888888
Ice_Cream_Hard_Serve,2,8.0,-0.875
Ice_Cream_Hard_Serve,3,3.0,-0.4861111111111111
Ice_Cream_Hard_Serve,4,7.0,-0.8333333333333333
Ice_Cream_Hard_Serve,5,6.0,-0.4722222222222221
