category,product_code,true_rank,predicted_score
Bacon,1,3.0,2.662617114700274
Bacon,2,2.0,6.058250044628631e-08
Bacon,3,1.0,5.001209609169283
Bacon,4,4.0,2.1775307201330043
Bacon,5,10.0,3.3247068835927944
Bacon,6,9.0,3.0491963089683463
Bacon,7,6.0,5.560523068963281
Bacon,8,8.0,4.099727420762802
Bacon,9,5.0,4.399235191478577
Bacon,10,7.0,2.0929813194546845
Barista_Milk,1,2.0,0.8814198594718287
Barista_Milk,2,8.0,3.9816571198060617
Barista_Milk,3,10.0,5.541793130075385
Barista_Milk,4,6.5,3.763273625796034
Barista_Milk,5,3.0,3.1299289229972236
Barista_Milk,6,1.0,1.5239398644221065
Barista_Milk,7,9.0,3.3882319732670414
Barista_Milk,8,6.5,4.916120804185134
Barista_Milk,9,5.0,3.310835424241626
Barista_Milk,10,4.0,1.8443896419922928e-10
Bratwurst,1,6.0,3.7116522328199704
Bratwurst,2,2.0,4.295096337969268
Bratwurst,3,5.0,0.1157984838582325
Bratwurst,4,4.0,2.1477386995726526
Bratwurst,5,8.0,2.564184198996231
Bratwurst,6,1.0,1.349763037528669
Bratwurst,7,3.0,1.0282410185781516
Bratwurst,8,9.0,5.788834957042183
Bratwurst,9,7.0,3.92739479762728
Breaded_Chicken_Filet,1,3.0,4.2007099366924665
Breaded_Chicken_Filet,2,1.0,3.0367227757349893
Breaded_Chicken_Filet,3,4.0,0.6310098758481177
Breaded_Chicken_Filet,4,2.0,2.641978928589424
Breaded_Chicken_Filet,5,5.0,1.8812794066276275
Breakfast_Sausages,1,1.0,3.2239670251854555
Breakfast_Sausages,2,7.0,4.22105021398075
Breakfast_Sausages,3,6.0,4.195573945151221
Breakfast_Sausages,4,10.0,5.1218373424476225
Breakfast_Sausages,5,5.0,1.1664997598664625e-12
Breakfast_Sausages,6,9.0,1.326111739378204
Breakfast_Sausages,7,3.0,2.502458691790361
Breakfast_Sausages,8,2.0,3.500086700444965
Breakfast_Sausages,9,8.0,4.598338554962502
Breakfast_Sausages,10,4.0,1.7642291564387929
Burgers,1,2.0,0.9069400920218276
Burgers,2,3.0,2.887001516039142
Burgers,3,8.0,4.454003897523428
Burgers,4,9.0,6.010160590714685
Burgers,5,1.0,2.744804481932313e-07
Burgers,6,10.0,4.001350920678594
Burgers,7,7.0,1.7770873692454965
Burgers,8,6.0,3.768651383297672
Burgers,9,5.0,4.247061467055614
Burgers,10,4.0,2.515448389301799
Butter,1,2.0,1.099695748943866
Butter,2,4.0,9.365764180480104e-07
Butter,3,10.0,4.422751240386744
Butter,4,8.0,2.6440057998715
Butter,5,9.0,4.562298746637925
Butter,6,7.0,2.2192703094961885
Butter,7,5.0,3.628882320938056
Butter,8,6.0,3.755472209576867
Butter,9,1.0,1.9978713319168149
Butter,10,3.0,3.780468521443497
Cheddar_Cheese,1,5.5,5.142487987774228
Cheddar_Cheese,2,1.0,1.2305516675143715
Cheddar_Cheese,3,5.5,2.935233683773773
Cheddar_Cheese,4,4.0,0.9842605627583768
Cheddar_Cheese,5,2.0,1.7026573385290682
Cheddar_Cheese,6,8.0,4.969685258031572
Cheddar_Cheese,7,3.0,1.3291946772271692
Cheddar_Cheese,8,7.0,2.8411897278846223
Chicken_Strips,1,2.0,3.0801086099897725
Chicken_Strips,2,10.0,3.449320504382122
Chicken_Strips,3,5.0,4.418672477062531
Chicken_Strips,4,4.0,4.691150870629168
Chicken_Strips,5,7.0,2.123196531479983
Chicken_Strips,6,8.0,2.2669914178928012
Chicken_Strips,7,9.0,4.425151540052846
Chicken_Strips,8,3.0,1.8190201435557352
Chicken_Strips,9,6.0,1.9651533541691772
Chicken_Strips,10,1.0,2.9684115305968763
Cream_Cheese,1,2.0,1.1420598296223974
Cream_Cheese,2,10.0,2.4411636317961154
Cream_Cheese,3,4.0,2.5906385761782595
Cream_Cheese,4,9.0,4.218671759287213
Cream_Cheese,5,8.0,4.324248512572326
Cream_Cheese,6,7.0,4.3545055724371595
Cream_Cheese,7,1.0,1.3331468671607478
Cream_Cheese,8,3.0,1.941871776253188
Cream_Cheese,9,5.0,3.5068604630240308
Cream_Cheese,10,6.0,3.5059213276862713
Creamer,1,1.0,0.7206729385426308
Creamer,2,4.0,2.154795485979202
Creamer,3,9.0,3.841120639920933
Creamer,4,8.0,5.565659239792158
Creamer,5,2.0,3.118608604017042e-11
Creamer,6,5.0,4.766195899925121
Creamer,7,6.0,3.721690384633244
Creamer,8,7.0,3.856052204375993
Creamer,9,3.0,1.5567502740149914
Deli_Ham,1,8.0,2.948124379651731
Deli_Ham,2,3.5,1.4348855110174004
Deli_Ham,3,3.5,5.057427213596668
Deli_Ham,4,5.0,4.291658436790383
Deli_Ham,5,6.0,5.084939115471575
Deli_Ham,6,9.0,1.782524850668396
