category,product_code,true_rank,predicted_score
Bacon,1,3.0,4.079277818760322
Bacon,2,2.0,0.8719111790165823
Bacon,3,1.0,4.006954959213394
Bacon,4,4.0,2.5224655386494605
Bacon,5,10.0,3.804696140908515
Bacon,6,9.0,1.5739442768876453
Bacon,7,6.0,3.1952808178470526
Bacon,8,8.0,2.2830045163415207
Bacon,9,5.0,2.2525299768079448
Bacon,10,7.0,2.736303140028255
Barista_Milk,1,2.0,3.273274679282143
Barista_Milk,2,8.0,3.5352208251549535
Barista_Milk,3,10.0,6.278312643447748
Barista_Milk,4,6.5,4.923805747073692
Barista_Milk,5,3.0,4.532163365980305
Barista_Milk,6,1.0,4.557166516047509
Barista_Milk,7,9.0,4.574717311403478
Barista_Milk,8,6.5,4.332605199640631
Barista_Milk,9,5.0,3.9174053191076834
Barista_Milk,10,4.0,2.543094530869843
Bratwurst,1,6.0,3.3332330423408556
Bratwurst,2,2.0,3.245334428496613
Bratwurst,3,5.0,2.7654880724828828
Bratwurst,4,4.0,1.9699632735113448
Bratwurst,5,8.0,2.7313276618624474
Bratwurst,6,1.0,3.774112158081993
Bratwurst,7,3.0,0.8047658824577657
Bratwurst,8,9.0,6.344731162707225
Bratwurst,9,7.0,3.7292028900196095
Breaded_Chicken_Filet,1,3.0,3.9946116193810255
Breaded_Chicken_Filet,2,1.0,2.2698997023566156
Breaded_Chicken_Filet,3,4.0,3.4829169940432188
Breaded_Chicken_Filet,4,2.0,4.405976137128806
Breaded_Chicken_Filet,5,5.0,4.47661312497712
Breakfast_Sausages,1,1.0,3.6335811392156305
Breakfast_Sausages,2,7.0,4.3498502270798935
Breakfast_Sausages,3,6.0,4.698642268375044
Breakfast_Sausages,4,10.0,3.450861625156496
Breakfast_Sausages,5,5.0,1.7768563491348168
Breakfast_Sausages,6,9.0,3.704635151900822
Breakfast_Sausages,7,3.0,3.962122543608881
Breakfast_Sausages,8,2.0,2.5467675561465817
Breakfast_Sausages,9,8.0,2.971164336091805
Breakfast_Sausages,10,4.0,2.228249691725785
Burgers,1,2.0,3.4791861575360943
Burgers,2,3.0,2.493541322753364
Burgers,3,8.0,3.1245340524929226
Burgers,4,9.0,5.268798127603411
Burgers,5,1.0,2.6878697037439387
Burgers,6,10.0,4.284727276791875
Burgers,7,7.0,3.9773279069205776
Burgers,8,6.0,3.9530692729613186
Burgers,9,5.0,4.735968713976247
Burgers,10,4.0,2.214367565221364
Butter,1,2.0,3.6910213434746777
Butter,2,4.0,3.5910210319457128
Butter,3,10.0,5.05264426487655
Butter,4,8.0,4.99509062881219
Butter,5,9.0,4.3818565376251
Butter,6,7.0,3.924708458142124
Butter,7,5.0,4.216347513387844
Butter,8,6.0,5.674193208202147
Butter,9,1.0,3.6076246239619914
Butter,10,3.0,6.579823788109553
Cheddar_Cheese,1,5.5,4.276506958322689
Cheddar_Cheese,2,1.0,4.290242955989618
Cheddar_Cheese,3,5.5,4.787941025315378
Cheddar_Cheese,4,4.0,5.687798424387072
Cheddar_Cheese,5,2.0,4.283621346725288
Cheddar_Cheese,6,8.0,5.9293143349512185
Cheddar_Cheese,7,3.0,4.37170237441843
Cheddar_Cheese,8,7.0,3.548362201152859
Chicken_Strips,1,2.0,3.185751825879077
Chicken_Strips,2,10.0,3.1267483241981626
Chicken_Strips,3,5.0,2.2811285839308124
Chicken_Strips,4,4.0,3.660406458134072
Chicken_Strips,5,7.0,3.945688116132897
Chicken_Strips,6,8.0,3.0177011927001702
Chicken_Strips,7,9.0,2.7112837210491296
Chicken_Strips,8,3.0,2.5465896478102925
Chicken_Strips,9,6.0,4.22157615039526
Chicken_Strips,10,1.0,4.1467902571855335
Cream_Cheese,1,2.0,3.2924213604457777
Cream_Cheese,2,10.0,5.905705680169105
Cream_Cheese,3,4.0,3.997531784710749
Cream_Cheese,4,9.0,4.064588587573136
Cream_Cheese,5,8.0,2.4746582820118124
Cream_Cheese,6,7.0,5.150373552525952
Cream_Cheese,7,1.0,1.5720760086583998
Cream_Cheese,8,3.0,5.3478040430308935
Cream_Cheese,9,5.0,2.221849268949004
Cream_Cheese,10,6.0,4.579617231177652
Creamer,1,1.0,4.3759318064243065
Creamer,2,4.0,4.339036524121425
Creamer,3,9.0,4.106311406517721
Creamer,4,8.0,5.021999469193033
Creamer,5,2.0,1.7401761582152364
Creamer,6,5.0,5.981843055639084
Creamer,7,6.0,4.333729241462021
Creamer,8,7.0,4.70373591039535
Creamer,9,3.0,5.144730132756268
Deli_Ham,1,8.0,3.7932309965210544
Deli_Ham,2,3.5,3.579321017792909
Deli_Ham,3,3.5,3.690885608961648
Deli_Ham,4,5.0,3.572458708902849
Deli_Ham,5,6.0,4.761969007300343
Deli_Ham,6,9.0,3.2589007664025247
Deli_Ham,7,1.0,3.299602787637657
Deli_Ham,8,2.0,2.1688906837838084
Deli_Ham,9,7.0,2.95839424809481
Deli_Turkey,1,7.0,3.537232467225155
Deli_Turkey,2,3.0,3.719368301123943
Deli_Turkey,3,6.0,4.737779330969656
Deli_Turkey,4,5.0,4.567008835072269
Deli_Turkey,5,2.0,3.36802357424725
Deli_Turkey,6,1.0,2.0335583421644947
Deli_Turkey,7,4.0,2.42701952324114
Hot_Dogs,1,4.0,1.7102753142200438
Hot_Dogs,2,5.0,3.181256546459347
Hot_Dogs,3,8.0,3.07912841860842
Hot_Dogs,4,6.0,4.055833913280517
Hot_Dogs,5,10.0,4.099489519179657
Hot_Dogs,6,7.0,2.7069436795706716
Hot_Dogs,7,2.0,2.9193132389275003
Hot_Dogs,8,1.0,2.9606286742480847
Hot_Dogs,9,3.0,3.243608562509067
Hot_Dogs,10,9.0,3.823941773624611
Ice_Cream_Hard_Serve,1,10.0,4.932388741945185
Ice_Cream_Hard_Serve,2,8.0,4.038344264700892
Ice_Cream_Hard_Serve,3,3.0,3.341826385009922
Ice_Cream_Hard_Serve,4,7.0,3.655434573946996
Ice_Cream_Hard_Serve,5,6.0,5.534179201209531
Ice_Cream_Hard_Serve,6,1.0,4.0614571638852635
Ice_Cream_Hard_Serve,7,9.0,4.439123372597367
Ice_Cream_Hard_Serve,8,5.0,4.472650695862623
Ice_Cream_Hard_Serve,9,2.0,3.274092713736897
Ice_Cream_Hard_Serve,10,4.0,4.4915773607509015
Meatballs,1,1.0,3.880451937830588
Meatballs,2,3.0,3.499090422419245
Meatballs,3,5.0,2.7235491577039608
Meatballs,4,4.0,3.283269624053589
