category,product_code,true_rank,predicted_score
Bacon,1,3.0,6.464668651323398
Bacon,2,2.0,4.778571444457187e-10
Bacon,3,1.0,8.052366345362945
Bacon,4,4.0,8.994945218796666
Bacon,5,10.0,7.865930065405917
Bacon,6,9.0,5.828762191108605
Bacon,7,6.0,8.934542474999137
Bacon,8,8.0,5.513257163742396
Bacon,9,5.0,2.959756496522113
Bacon,10,7.0,2.186797301803658
Barista_Milk,1,2.0,1.7455747631065868
Barista_Milk,2,8.0,2.337779834799365
Barista_Milk,3,10.0,7.932867965312683
Barista_Milk,4,6.5,8.44599710158397
Barista_Milk,5,3.0,7.06146805554771
Barista_Milk,6,1.0,2.8278751212608673
Barista_Milk,7,9.0,8.996597553788577
Barista_Milk,8,6.5,0.0802499475845777
Barista_Milk,9,5.0,1.3346117619728033
Barista_Milk,10,4.0,1.4377067026658643
Bratwurst,1,6.0,6.282046618373329
Bratwurst,2,2.0,3.986553926852572
Bratwurst,3,5.0,1.0002611119373928
Bratwurst,4,4.0,0.214523171465425
Bratwurst,5,8.0,5.744477249135969
Bratwurst,6,1.0,4.224751902357937
Bratwurst,7,3.0,2.6450281931790656
Bratwurst,8,9.0,7.999999665917059
Bratwurst,9,7.0,2.0104165192687575
Breaded_Chicken_Filet,1,3.0,0.0482711555843957
Breaded_Chicken_Filet,2,1.0,2.7147262423087244
Breaded_Chicken_Filet,3,4.0,3.990223271051408
Breaded_Chicken_Filet,4,2.0,2.999906260577028
Breaded_Chicken_Filet,5,5.0,3.999849688398309
Breakfast_Sausages,1,1.0,3.9937177848033296
Breakfast_Sausages,2,7.0,8.615465356443458
Breakfast_Sausages,3,6.0,8.048369696652953
Breakfast_Sausages,4,10.0,7.443708616830322
Breakfast_Sausages,5,5.0,9.643284578483934e-13
Breakfast_Sausages,6,9.0,4.027447863599287
Breakfast_Sausages,7,3.0,8.997646896606259
Breakfast_Sausages,8,2.0,3.9909368818947097
Breakfast_Sausages,9,8.0,4.950485857893176
Breakfast_Sausages,10,4.0,2.0677324424335665e-07
Burgers,1,2.0,2.265473457090857
Burgers,2,3.0,3.000251916887401
Burgers,3,8.0,4.077686036912641
Burgers,4,9.0,8.999999981147447
Burgers,5,1.0,1.116509203917258e-06
Burgers,6,10.0,7.617520643329188
Burgers,7,7.0,3.997779041912605
Burgers,8,6.0,7.0057729621737606
Burgers,9,5.0,8.943560872789657
Burgers,10,4.0,2.1326185748834248
Butter,1,2.0,3.009350711973954
Butter,2,4.0,3.3520648650757165e-10
Butter,3,10.0,4.026075232080574
Butter,4,8.0,0.0028109987368207
Butter,5,9.0,4.031742714834628
Butter,6,7.0,4.40800339150726
Butter,7,5.0,6.662812684632675
Butter,8,6.0,7.195756752851814
Butter,9,1.0,2.9999730043371384
Butter,10,3.0,3.694722634915104
Cheddar_Cheese,1,5.5,5.228944380521777
Cheddar_Cheese,2,1.0,1.5690849409672225
Cheddar_Cheese,3,5.5,0.0025901566854882
Cheddar_Cheese,4,4.0,5.308778849603601
Cheddar_Cheese,5,2.0,0.0416933093601016
Cheddar_Cheese,6,8.0,6.956547995744144
Cheddar_Cheese,7,3.0,2.2456678743589946
Cheddar_Cheese,8,7.0,2.3797370509725245e-06
Chicken_Strips,1,2.0,0.9475533850118608
Chicken_Strips,2,10.0,4.5271136025923315
Chicken_Strips,3,5.0,0.5721397134559546
Chicken_Strips,4,4.0,5.626394864455717
Chicken_Strips,5,7.0,7.846843918093469
Chicken_Strips,6,8.0,6.168767299469974
Chicken_Strips,7,9.0,6.538021987863654
Chicken_Strips,8,3.0,2.5811076230723624
Chicken_Strips,9,6.0,5.624975881613615
Chicken_Strips,10,1.0,8.997918119028443
Cream_Cheese,1,2.0,0.9956989564936148
Cream_Cheese,2,10.0,8.999999257347339
Cream_Cheese,3,4.0,4.134987835508437
Cream_Cheese,4,9.0,4.990358981668941
Cream_Cheese,5,8.0,4.846483151363891
Cream_Cheese,6,7.0,7.537479189533188
Cream_Cheese,7,1.0,0.0222000904687023
Cream_Cheese,8,3.0,5.471523795834911
Cream_Cheese,9,5.0,0.0042974120402217
Cream_Cheese,10,6.0,6.347857766098222
Creamer,1,1.0,1.139842643149068
Creamer,2,4.0,3.3125589714377464
Creamer,3,9.0,3.6735120719583634
Creamer,4,8.0,6.434385869325634
Creamer,5,2.0,4.522323421003783e-15
Creamer,6,5.0,7.700258264902093
Creamer,7,6.0,7.1820388202100265
Creamer,8,7.0,5.091878900946253
Creamer,9,3.0,2.443057104429766
Deli_Ham,1,8.0,7.999672094370673
Deli_Ham,2,3.5,9.87504318718427e-06
Deli_Ham,3,3.5,5.997747063724473
Deli_Ham,4,5.0,2.8790662698745275
Deli_Ham,5,6.0,7.719365406616472
Deli_Ham,6,9.0,7.22381270073951
Deli_Ham,7,1.0,0.1519228819027409
Deli_Ham,8,2.0,2.001846545487993
Deli_Ham,9,7.0,1.1566034263521117
Deli_Turkey,1,7.0,4.999952553437689
Deli_Turkey,2,3.0,2.8335525307606737
Deli_Turkey,3,6.0,5.999763241665804
Deli_Turkey,4,5.0,3.993978875354572
Deli_Turkey,5,2.0,2.9990281356084703
Deli_Turkey,6,1.0,2.999862775923866
Deli_Turkey,7,4.0,1.5368575612076345
Hot_Dogs,1,4.0,1.8361907589917237
Hot_Dogs,2,5.0,4.000057868079259
Hot_Dogs,3,8.0,4.998288511918435
Hot_Dogs,4,6.0,8.340527509800765
Hot_Dogs,5,10.0,4.9255041998554905
Hot_Dogs,6,7.0,5.000390763515916
Hot_Dogs,7,2.0,0.420207328637162
Hot_Dogs,8,1.0,2.9999681070098267
Hot_Dogs,9,3.0,1.115905435513967
Hot_Dogs,10,9.0,5.0488558414500275
Ice_Cream_Hard_Serve,1,10.0,8.824120204466077
Ice_Cream_Hard_Serve,2,8.0,2.2847304337651377
Ice_Cream_Hard_Serve,3,3.0,2.5135813448460995
Ice_Cream_Hard_Serve,4,7.0,0.0933249180022002
Ice_Cream_Hard_Serve,5,6.0,6.460949608021442
Ice_Cream_Hard_Serve,6,1.0,1.8004156617081786
Ice_Cream_Hard_Serve,7,9.0,6.111127317397069
Ice_Cream_Hard_Serve,8,5.0,2.0622176344702434
Ice_Cream_Hard_Serve,9,2.0,8.268463221832325e-08
Ice_Cream_Hard_Serve,10,4.0,7.660298995747987
Meatballs,1,1.0,3.9997520980118697
Meatballs,2,3.0,3.9746803505937582
Meatballs,3,5.0,0.0003865457607396
Meatballs,4,4.0,6.468932776550266e-05
Meatballs,5,2.0,1.506446043684375
Milk,1,13.0,16.99999994502435
Milk,2,11.0,6.626881233304311
Milk,3,9.0,5.839885677345287
Milk,4,6.0,12.35469140519134
Milk,5,10.0,4.68536556415566
Milk,6,5.0,10.18955778114344
Milk,7,2.0,6.778912777334025
Milk,8,4.0,1.2939714359847767
Milk,9,1.0,0.7710398319066234
Milk,10,17.0,11.63658528633145
Milk,11,15.0,12.365700699871743
Milk,12,3.0,0.8867520321542383
Milk,13,7.0,7.143435819516185
Milk,14,8.0,5.797811166818964
Milk,15,18.0,13.39616191221005
Milk,16,16.0,7.254135171814728
Milk,17,12.0,16.805368412644697
Milk,18,14.0,8.937926576045985
Mozzarella,1,4.0,2.066395808050913
Mozzarella,2,2.0,2.787870821790324
Mozzarella,3,3.0,6.999999978616311
Mozzarella,4,1.0,6.994348799919985
Mozzarella,5,5.0,6.829004172602473
Mozzarella,6,7.0,0.9294820480487368
Mozzarella,7,8.0,6.337522701226186e-08
Mozzarella,8,6.0,8.882894245606703e-06
Nuggets,1,1.0,8.977612327927513
Nuggets,2,6.0,8.284688993788691
Nuggets,3,10.0,4.214098663321868
Nuggets,4,7.0,8.998626155009674
Nuggets,5,5.0,3.4198201291792223e-06
Nuggets,6,3.0,3.7805790262263104
Nuggets,7,2.0,8.999998333407355
Nuggets,8,8.0,5.193189441464556
Nuggets,9,4.0,8.95122413203312
Nuggets,10,9.0,4.474496517934454e-09
Pulled_Pork,1,3.0,0.0031180180919349
Pulled_Pork,2,7.0,3.849509644791043
Pulled_Pork,3,4.0,3.1465951347060273
Pulled_Pork,4,5.0,5.9972328725617485
