category,product_code,true_rank,predicted_score
Bacon,1,3.0,5.1940574558744155
Bacon,2,2.0,0.0008181581015525
Bacon,3,1.0,8.999530679974729
Bacon,4,4.0,7.0851321982680275
Bacon,5,10.0,8.751298357403671
Bacon,6,9.0,1.926820295008318
Bacon,7,6.0,7.321659216138037
Bacon,8,8.0,5.152301915025165
Bacon,9,5.0,2.167954579909552
Bacon,10,7.0,0.2681123625072872
Barista_Milk,1,2.0,5.88131920980165
Barista_Milk,2,8.0,2.75033323629132
Barista_Milk,3,10.0,8.517524137687804
Barista_Milk,4,6.5,6.073921733022106
Barista_Milk,5,3.0,5.192992793847869
Barista_Milk,6,1.0,5.12027737462984
Barista_Milk,7,9.0,5.983461649803326
Barista_Milk,8,6.5,6.280719476260906
Barista_Milk,9,5.0,0.369413357190947
Barista_Milk,10,4.0,0.0001667612593328
Bratwurst,1,6.0,5.012279397539859
Bratwurst,2,2.0,5.867069908145654
Bratwurst,3,5.0,4.112676949364696
Bratwurst,4,4.0,1.234981803161861
Bratwurst,5,8.0,2.967865822907931
Bratwurst,6,1.0,4.106650895315895
Bratwurst,7,3.0,0.0964078105989391
Bratwurst,8,9.0,7.99661761350744
Bratwurst,9,7.0,4.0924118303987065
Breaded_Chicken_Filet,1,3.0,3.1944947800174415
Breaded_Chicken_Filet,2,1.0,1.5930226032184005
Breaded_Chicken_Filet,3,4.0,3.960119862628704
Breaded_Chicken_Filet,4,2.0,0.0620294298316275
Breaded_Chicken_Filet,5,5.0,2.085136561329698
Breakfast_Sausages,1,1.0,8.999249097051614
Breakfast_Sausages,2,7.0,7.049527480384206
Breakfast_Sausages,3,6.0,7.598351004971337
Breakfast_Sausages,4,10.0,6.859501957382486
Breakfast_Sausages,5,5.0,4.072138142485358e-07
Breakfast_Sausages,6,9.0,2.297948148416064
Breakfast_Sausages,7,3.0,7.864438960129626
Breakfast_Sausages,8,2.0,0.9769236222626236
Breakfast_Sausages,9,8.0,4.842623959717429
Breakfast_Sausages,10,4.0,0.0195808488389052
Burgers,1,2.0,1.1378225226988052
Burgers,2,3.0,4.93497109668934
Burgers,3,8.0,3.4724432204691125
Burgers,4,9.0,8.305494646132686
Burgers,5,1.0,0.0237576486002976
Burgers,6,10.0,8.179928319869623
Burgers,7,7.0,5.916242517883838
Burgers,8,6.0,7.985218402301734
Burgers,9,5.0,8.27308829340793
Burgers,10,4.0,5.071810521421231
Butter,1,2.0,2.9207848512011125
Butter,2,4.0,3.0355216012394175
Butter,3,10.0,4.449493399033189
Butter,4,8.0,3.9160713109099374
Butter,5,9.0,5.907391589300307
Butter,6,7.0,8.909206336539619
Butter,7,5.0,3.787097423614287
Butter,8,6.0,5.609660610760864
Butter,9,1.0,0.2676599249351579
Butter,10,3.0,4.161399073825122
Cheddar_Cheese,1,5.5,6.680963340794171
Cheddar_Cheese,2,1.0,2.01889129206424
Cheddar_Cheese,3,5.5,2.081908069028718
Cheddar_Cheese,4,4.0,4.352928835007996
Cheddar_Cheese,5,2.0,2.8287250924603295
Cheddar_Cheese,6,8.0,5.355672257794108
Cheddar_Cheese,7,3.0,3.08997718997188
Cheddar_Cheese,8,7.0,1.554552387181794
Chicken_Strips,1,2.0,1.314139740041492
Chicken_Strips,2,10.0,6.895037573947896
Chicken_Strips,3,5.0,1.5750322285757583
Chicken_Strips,4,4.0,4.644233256410287
Chicken_Strips,5,7.0,3.78343219928404
Chicken_Strips,6,8.0,0.2433421488025929
Chicken_Strips,7,9.0,6.347626185782291
