category,product_code,true_rank,predicted_score
Bacon,1,3.0,4.344398664900687
Bacon,2,2.0,1.7067693458850703
Bacon,3,1.0,2.5648614394245133
Bacon,4,4.0,4.209690435074875
Bacon,5,10.0,7.057832353309272
Bacon,6,9.0,6.640957156953516
Bacon,7,6.0,5.870786700557753
Bacon,8,8.0,4.7747775300228
Bacon,9,5.0,5.166112869442505
Bacon,10,7.0,3.639210511525453
Barista_Milk,1,2.0,4.2597024397355066
Barista_Milk,2,8.0,3.2909306490707104
Barista_Milk,3,10.0,5.759118297884441
Barista_Milk,4,6.5,4.302761178604227
Barista_Milk,5,3.0,5.927192125392085
Barista_Milk,6,1.0,5.635982708400741
Barista_Milk,7,9.0,6.064857197061362
Barista_Milk,8,6.5,5.580166041381753
Barista_Milk,9,5.0,2.349204075288464
Barista_Milk,10,4.0,0.9850295727793064
Bratwurst,1,6.0,3.780091575324927
Bratwurst,2,2.0,3.7102978090059624
Bratwurst,3,5.0,1.7641616194019971
Bratwurst,4,4.0,3.370964223325695
Bratwurst,5,8.0,5.761755838467744
Bratwurst,6,1.0,4.5716852094049205
Bratwurst,7,3.0,1.8898281070514584
Bratwurst,8,9.0,7.037587492761393
Bratwurst,9,7.0,4.578066876117724
Breaded_Chicken_Filet,1,3.0,1.97382552091272
Breaded_Chicken_Filet,2,1.0,3.1048770455198613
Breaded_Chicken_Filet,3,4.0,2.9859607245323323
Breaded_Chicken_Filet,4,2.0,1.6569827297000943
Breaded_Chicken_Filet,5,5.0,1.6333894574441308
Breakfast_Sausages,1,1.0,6.836296241150379
Breakfast_Sausages,2,7.0,5.807861260734387
Breakfast_Sausages,3,6.0,5.604122860942869
Breakfast_Sausages,4,10.0,6.061196416897296
Breakfast_Sausages,5,5.0,0.8367253720867581
Breakfast_Sausages,6,9.0,3.746726787324697
Breakfast_Sausages,7,3.0,4.593981384609584
Breakfast_Sausages,8,2.0,4.587005265301855
Breakfast_Sausages,9,8.0,5.7866568907755305
Breakfast_Sausages,10,4.0,1.1746865021746602
Burgers,1,2.0,2.819686921002514
Burgers,2,3.0,5.961982140007824
Burgers,3,8.0,3.4952612910262584
Burgers,4,9.0,7.044003327248923
Burgers,5,1.0,1.437670412363853
Burgers,6,10.0,5.631094528429261
Burgers,7,7.0,4.998881391458893
Burgers,8,6.0,6.439807163445351
Burgers,9,5.0,5.439940610556571
Burgers,10,4.0,4.26719823541138
Butter,1,2.0,3.277348987775019
Butter,2,4.0,1.2739118251269974
Butter,3,10.0,5.336861948369773
Butter,4,8.0,2.307775981597424
Butter,5,9.0,6.104708848031146
Butter,6,7.0,7.898953911868935
Butter,7,5.0,6.176706744090597
Butter,8,6.0,4.301540004872986
Butter,9,1.0,2.6309467460326794
Butter,10,3.0,5.194253878460738
Cheddar_Cheese,1,5.5,5.580203883545612
Cheddar_Cheese,2,1.0,2.832007090703779
Cheddar_Cheese,3,5.5,2.8183491055814724
Cheddar_Cheese,4,4.0,4.171636601005499
Cheddar_Cheese,5,2.0,0.6250387501757905
Cheddar_Cheese,6,8.0,5.429984985298221
Cheddar_Cheese,7,3.0,3.4605168958184755
Cheddar_Cheese,8,7.0,1.7355633103589352
Chicken_Strips,1,2.0,3.722617603556547
Chicken_Strips,2,10.0,5.3420972543756715
Chicken_Strips,3,5.0,6.346514882646072
Chicken_Strips,4,4.0,3.554554109997045
Chicken_Strips,5,7.0,4.366994459546292
Chicken_Strips,6,8.0,2.5426895716486695
Chicken_Strips,7,9.0,4.148395565684332
Chicken_Strips,8,3.0,1.839370287565204
Chicken_Strips,9,6.0,4.581277216386036
Chicken_Strips,10,1.0,5.8318900036170955
Cream_Cheese,1,2.0,2.629187652005096
Cream_Cheese,2,10.0,6.809270618507204
Cream_Cheese,3,4.0,2.4506375656360495
Cream_Cheese,4,9.0,4.874302034172472
Cream_Cheese,5,8.0,6.162002431373528
Cream_Cheese,6,7.0,6.298906065508765
Cream_Cheese,7,1.0,2.2955711297276116
Cream_Cheese,8,3.0,5.966241095731206
Cream_Cheese,9,5.0,4.274380855103576
Cream_Cheese,10,6.0,5.524583978904681
Creamer,1,1.0,2.171978843835215
Creamer,2,4.0,3.1820510390608243
Creamer,3,9.0,3.8480932048586496
Creamer,4,8.0,5.283387455291283
Creamer,5,2.0,1.4076384810140066
Creamer,6,5.0,6.797727533001048
Creamer,7,6.0,6.178835806766414
Creamer,8,7.0,4.35724590151186
Creamer,9,3.0,3.31787934400199
Deli_Ham,1,8.0,5.315468551957356
Deli_Ham,2,3.5,0.5673915774550525
Deli_Ham,3,3.5,4.907467859783744
Deli_Ham,4,5.0,5.365036144767257
Deli_Ham,5,6.0,4.878017139710047
Deli_Ham,6,9.0,5.766716124534204
Deli_Ham,7,1.0,4.008328796293693
Deli_Ham,8,2.0,3.3351552402851667
Deli_Ham,9,7.0,2.057244159678075
Deli_Turkey,1,7.0,3.984482597490409
Deli_Turkey,2,3.0,2.434386356844702
Deli_Turkey,3,6.0,4.716694176172833
Deli_Turkey,4,5.0,1.1369450415575744
Deli_Turkey,5,2.0,3.0647262576484295
Deli_Turkey,6,1.0,2.7362096211180624
Deli_Turkey,7,4.0,4.136282906839429
Hot_Dogs,1,4.0,3.5711372347676686
Hot_Dogs,2,5.0,5.806760014017876
Hot_Dogs,3,8.0,5.648709647372805
Hot_Dogs,4,6.0,6.9896987421122745
Hot_Dogs,5,10.0,2.9989730134159727
Hot_Dogs,6,7.0,4.853002637591181
Hot_Dogs,7,2.0,0.4513993671083226
Hot_Dogs,8,1.0,2.054422090485743
Hot_Dogs,9,3.0,2.031682828909392
Hot_Dogs,10,9.0,5.6469548420946545
