category,product_code,true_rank,predicted_score
Bacon,1,3.0,3.1589002966958
Bacon,2,2.0,3.2161512320385675
Bacon,3,1.0,3.275501747860064
Bacon,4,4.0,2.9347451100064568
Bacon,5,10.0,3.770357143992862
Bacon,6,9.0,2.8186160221365264
Bacon,7,6.0,3.2963838863074657
Bacon,8,8.0,3.007052485996399
Bacon,9,5.0,3.43091805084162
Bacon,10,7.0,3.958684568916062
Barista_Milk,1,2.0,4.038169441627858
Barista_Milk,2,8.0,4.003306016084411
Barista_Milk,3,10.0,4.330543717772461
Barista_Milk,4,6.5,3.6504455911185376
Barista_Milk,5,3.0,3.5071616828669616
Barista_Milk,6,1.0,3.9986271259972472
Barista_Milk,7,9.0,3.747172579948833
Barista_Milk,8,6.5,4.184058065916983
Barista_Milk,9,5.0,3.9277497301757207
Barista_Milk,10,4.0,3.306502950477129
Bratwurst,1,6.0,3.105607401473601
Bratwurst,2,2.0,3.4622392687878447
Bratwurst,3,5.0,3.621234333860337
Bratwurst,4,4.0,3.5469989586675488
Bratwurst,5,8.0,3.370190545800696
Bratwurst,6,1.0,3.629293970602001
Bratwurst,7,3.0,3.6608290921315585
Bratwurst,8,9.0,3.635107252493043
Bratwurst,9,7.0,3.696869081528409
Breaded_Chicken_Filet,1,3.0,3.480501600585614
Breaded_Chicken_Filet,2,1.0,3.478202192228235
Breaded_Chicken_Filet,3,4.0,3.5048465103831923
Breaded_Chicken_Filet,4,2.0,3.585176820522104
Breaded_Chicken_Filet,5,5.0,3.391207389280941
Breakfast_Sausages,1,1.0,3.398671363062748
Breakfast_Sausages,2,7.0,3.5575768403266697
Breakfast_Sausages,3,6.0,3.1550093694366854
Breakfast_Sausages,4,10.0,3.542892665535862
Breakfast_Sausages,5,5.0,3.306277072005106
Breakfast_Sausages,6,9.0,3.765718323217704
Breakfast_Sausages,7,3.0,3.204774024269893
Breakfast_Sausages,8,2.0,3.5593226571168297
Breakfast_Sausages,9,8.0,3.2516744289889123
Breakfast_Sausages,10,4.0,3.353614451653097
Burgers,1,2.0,3.424361286595625
Burgers,2,3.0,3.817511939487071
Burgers,3,8.0,3.4002856462446363
Burgers,4,9.0,3.889608479009655
Burgers,5,1.0,3.643053672428168
Burgers,6,10.0,3.564670465764174
Burgers,7,7.0,3.5028682374552353
Burgers,8,6.0,3.523003953199235
Burgers,9,5.0,3.4792089823564147
Burgers,10,4.0,3.5200016068853333
Butter,1,2.0,4.526718194620546
Butter,2,4.0,5.080381138284068
Butter,3,10.0,4.498376668181358
Butter,4,8.0,4.6617058014085
Butter,5,9.0,4.517107931011288
Butter,6,7.0,4.27604852831878
Butter,7,5.0,4.314365202019193
Butter,8,6.0,4.684780314309534
Butter,9,1.0,4.09088750575433
Butter,10,3.0,4.572261643326898
Cheddar_Cheese,1,5.5,3.730034820947821
Cheddar_Cheese,2,1.0,4.7277627352183185
Cheddar_Cheese,3,5.5,4.579785310867281
Cheddar_Cheese,4,4.0,4.6844685742000065
Cheddar_Cheese,5,2.0,4.3770200597493485
Cheddar_Cheese,6,8.0,4.728337538437652
Cheddar_Cheese,7,3.0,4.591071896539839
Cheddar_Cheese,8,7.0,4.33328795191618
Chicken_Strips,1,2.0,3.18083510429749
Chicken_Strips,2,10.0,3.0202183895673147
Chicken_Strips,3,5.0,3.184218179697973
Chicken_Strips,4,4.0,2.5851246083840898
Chicken_Strips,5,7.0,4.042616260038291
Chicken_Strips,6,8.0,3.4283430353994
Chicken_Strips,7,9.0,3.4903822227015016
Chicken_Strips,8,3.0,3.143462817890002
Chicken_Strips,9,6.0,2.945679427207956
Chicken_Strips,10,1.0,3.3777864397227493
Cream_Cheese,1,2.0,3.70711566543782
Cream_Cheese,2,10.0,4.711128809446338
Cream_Cheese,3,4.0,3.5268534521584134
Cream_Cheese,4,9.0,4.466766349916098
Cream_Cheese,5,8.0,3.7598498704714856
Cream_Cheese,6,7.0,4.240764702583477
Cream_Cheese,7,1.0,3.173969318523481
Cream_Cheese,8,3.0,2.838563240534941
Cream_Cheese,9,5.0,4.034720223113154
Cream_Cheese,10,6.0,4.487768027058025
Creamer,1,1.0,3.8001360769900896
Creamer,2,4.0,4.3342981333371515
Creamer,3,9.0,4.123132793641435
Creamer,4,8.0,3.953754518768051
Creamer,5,2.0,4.432810799639575
Creamer,6,5.0,4.51456542401533
Creamer,7,6.0,4.32465510524031
Creamer,8,7.0,4.426309082282004
Creamer,9,3.0,4.521314121648951
Deli_Ham,1,8.0,3.973630865876455
Deli_Ham,2,3.5,3.6532511849484224
Deli_Ham,3,3.5,3.6239315653620183
Deli_Ham,4,5.0,3.4540620360056606
Deli_Ham,5,6.0,3.4129402021256356
Deli_Ham,6,9.0,3.314724060973228
Deli_Ham,7,1.0,3.4107614651351583
Deli_Ham,8,2.0,3.2305008838563554
Deli_Ham,9,7.0,3.3179723165209665
Deli_Turkey,1,7.0,3.3233699095308475
Deli_Turkey,2,3.0,2.9956422983630655
Deli_Turkey,3,6.0,3.486084351886439
Deli_Turkey,4,5.0,3.2341527367581366
Deli_Turkey,5,2.0,4.022271971966132
Deli_Turkey,6,1.0,3.464413460212231
Deli_Turkey,7,4.0,3.5683736899836807
Hot_Dogs,1,4.0,3.13788346237203
Hot_Dogs,2,5.0,3.4191453108248053
Hot_Dogs,3,8.0,3.126163267918039
Hot_Dogs,4,6.0,3.15282344320549
Hot_Dogs,5,10.0,3.280453716585235
Hot_Dogs,6,7.0,3.1165461694850833
Hot_Dogs,7,2.0,2.5395106668100804
Hot_Dogs,8,1.0,3.1275936046916923
Hot_Dogs,9,3.0,3.1772248588422785
Hot_Dogs,10,9.0,2.8871106245858753
Ice_Cream_Hard_Serve,1,10.0,3.72717947849937
Ice_Cream_Hard_Serve,2,8.0,4.117226277308674
Ice_Cream_Hard_Serve,3,3.0,4.290561053408644
Ice_Cream_Hard_Serve,4,7.0,4.5666789203127545
Ice_Cream_Hard_Serve,5,6.0,4.547158922051503
Ice_Cream_Hard_Serve,6,1.0,3.308536295645749
Ice_Cream_Hard_Serve,7,9.0,4.509501162850004
Ice_Cream_Hard_Serve,8,5.0,4.473861104080245
Ice_Cream_Hard_Serve,9,2.0,3.924571603277827
Ice_Cream_Hard_Serve,10,4.0,4.488329329903324
Meatballs,1,1.0,3.403847377418984
Meatballs,2,3.0,3.076169549509423
Meatballs,3,5.0,3.4411125280944814
Meatballs,4,4.0,3.1904061620720205
Meatballs,5,2.0,3.5443954034807823
Milk,1,13.0,3.6275216805001222
Milk,2,11.0,3.2498900378389486
Milk,3,9.0,3.8537725437415378
Milk,4,6.0,3.4788233808106064
Milk,5,10.0,3.5730105242550976
Milk,6,5.0,3.1865805328957446
Milk,7,2.0,3.69842686389049
Milk,8,4.0,4.361789277863706
Milk,9,1.0,4.025647293199273
Milk,10,17.0,3.803793769877157
Milk,11,15.0,4.216917576665968
Milk,12,3.0,2.9050249387175535
Milk,13,7.0,3.328925559626362
Milk,14,8.0,4.237800939518613
Milk,15,18.0,3.775672832457773
Milk,16,16.0,3.579937550942893
Milk,17,12.0,3.698407115985958
Milk,18,14.0,3.912700772109944
Mozzarella,1,4.0,4.306268561201214
Mozzarella,2,2.0,4.041220876396524
Mozzarella,3,3.0,4.192938238580451
Mozzarella,4,1.0,4.589965184191314
Mozzarella,5,5.0,3.949140427333679
Mozzarella,6,7.0,3.9880720194992776
Mozzarella,7,8.0,4.123843232108056
Mozzarella,8,6.0,3.841945713919078
Nuggets,1,1.0,4.1586320163843675
Nuggets,2,6.0,3.5746426784119043
Nuggets,3,10.0,3.80190791354505
Nuggets,4,7.0,3.712747733914516
Nuggets,5,5.0,3.8788626465699423
Nuggets,6,3.0,3.6995798001229994
Nuggets,7,2.0,3.4239678064175623
Nuggets,8,8.0,3.8327051319946026
Nuggets,9,4.0,3.627141697436099
Nuggets,10,9.0,3.070680710399687
Pulled_Pork,1,3.0,3.373715097117171
Pulled_Pork,2,7.0,3.3947746318576515
Pulled_Pork,3,4.0,3.581817320650228
Pulled_Pork,4,5.0,3.0903926789427385
