category,product_code,true_rank,predicted_score
Bacon,1,3.0,-0.6111111111111112
Bacon,2,2.0,-0.4444444444444444
Bacon,3,1.0,-0.4722222222222222
Bacon,4,4.0,-0.5277777777777778
Bacon,5,10.0,-0.4722222222222221
Bacon,6,9.0,-0.6111111111111112
Bacon,7,6.0,-0.638888888888889
Bacon,8,8.0,-0.4444444444444445
Bacon,9,5.0,-0.3888888888888889
Bacon,10,7.0,-0.8333333333333334
Barista_Milk,1,2.0,-0.625
Barista_Milk,2,8.0,-0.2323232323232323
Barista_Milk,3,10.0,-0.494949494949495
Barista_Milk,4,6.5,-0.4848484848484848
Barista_Milk,5,3.0,-0.7146464646464645
Barista_Milk,6,1.0,-0.6161616161616161
Barista_Milk,7,9.0,-0.5353535353535354
Barista_Milk,8,6.5,-0.4898989898989899
Barista_Milk,9,5.0,-0.7752525252525252
Barista_Milk,10,4.0,-0.5707070707070707
Bratwurst,1,6.0,-0.3636363636363636
Bratwurst,2,2.0,-0.7272727272727272
Bratwurst,3,5.0,-0.7575757575757575
Bratwurst,4,4.0,-0.6666666666666666
Bratwurst,5,8.0,-0.5151515151515151
Bratwurst,6,1.0,-0.3939393939393938
Bratwurst,7,3.0,-0.5757575757575757
Bratwurst,8,9.0,-0.6363636363636364
Bratwurst,9,7.0,-0.2727272727272727
Breaded_Chicken_Filet,1,3.0,-0.3809523809523809
Breaded_Chicken_Filet,2,1.0,-0.6666666666666666
Breaded_Chicken_Filet,3,4.0,-0.7142857142857143
Breaded_Chicken_Filet,4,2.0,-0.4285714285714285
Breaded_Chicken_Filet,5,5.0,-0.6666666666666666
Breakfast_Sausages,1,1.0,-0.7222222222222223
Breakfast_Sausages,2,7.0,-0.5555555555555556
Breakfast_Sausages,3,6.0,-0.5277777777777778
Breakfast_Sausages,4,10.0,-0.2499999999999999
Breakfast_Sausages,5,5.0,-0.3611111111111111
Breakfast_Sausages,6,9.0,-0.5833333333333334
Breakfast_Sausages,7,3.0,-0.7222222222222222
Breakfast_Sausages,8,2.0,-0.75
Breakfast_Sausages,9,8.0,-0.4166666666666667
Breakfast_Sausages,10,4.0,-0.6111111111111112
Burgers,1,2.0,-0.5
Burgers,2,3.0,-0.375
Burgers,3,8.0,-0.3333333333333333
Burgers,4,9.0,-0.5
Burgers,5,1.0,-0.9166666666666666
Burgers,6,10.0,-0.7083333333333333
Burgers,7,7.0,-0.625
Burgers,8,6.0,-0.5833333333333334
Burgers,9,5.0,-0.4166666666666666
Burgers,10,4.0,-0.4583333333333333
Butter,1,2.0,-0.611111111111111
Butter,2,4.0,-0.6111111111111112
Butter,3,10.0,-0.5
Butter,4,8.0,-0.5555555555555556
Butter,5,9.0,-0.4444444444444444
Butter,6,7.0,-0.4166666666666667
Butter,7,5.0,-0.5555555555555557
Butter,8,6.0,-0.3611111111111111
Butter,9,1.0,-0.75
Butter,10,3.0,-0.6944444444444443
Cheddar_Cheese,1,5.5,-0.6388888888888888
Cheddar_Cheese,2,1.0,-0.7222222222222222
Cheddar_Cheese,3,5.5,-0.5833333333333334
Cheddar_Cheese,4,4.0,-0.3888888888888888
Cheddar_Cheese,5,2.0,-0.5555555555555556
Cheddar_Cheese,6,8.0,-0.4444444444444444
Cheddar_Cheese,7,3.0,-0.5833333333333334
Cheddar_Cheese,8,7.0,-0.638888888888889
Chicken_Strips,1,2.0,-0.547979797979798
Chicken_Strips,2,10.0,-0.5050505050505051
Chicken_Strips,3,5.0,-0.5404040404040404
Chicken_Strips,4,4.0,-0.5808080808080808
Chicken_Strips,5,7.0,-0.625
Chicken_Strips,6,8.0,-0.3989898989898989
Chicken_Strips,7,9.0,-0.6616161616161617
Chicken_Strips,8,3.0,-0.4898989898989899
Chicken_Strips,9,6.0,-0.7651515151515151
Chicken_Strips,10,1.0,-0.3686868686868687
Cream_Cheese,1,2.0,-0.8888888888888888
Cream_Cheese,2,10.0,-0.5277777777777778
Cream_Cheese,3,4.0,-0.7777777777777778
Cream_Cheese,4,9.0,-0.4444444444444445
Cream_Cheese,5,8.0,-0.2777777777777778
Cream_Cheese,6,7.0,-0.3611111111111111
Cream_Cheese,7,1.0,-0.6388888888888888
Cream_Cheese,8,3.0,-0.4722222222222221
Cream_Cheese,9,5.0,-0.4166666666666667
Cream_Cheese,10,6.0,-0.6666666666666666
Creamer,1,1.0,-0.6666666666666666
Creamer,2,4.0,-0.6944444444444443
Creamer,3,9.0,-0.638888888888889
