category,product_code,true_rank,predicted_score
Bacon,1,3.0,-0.6944444444444445
Bacon,2,2.0,-0.4722222222222221
Bacon,3,1.0,-0.4166666666666667
Bacon,4,4.0,-0.4166666666666667
Bacon,5,10.0,-0.4722222222222221
Bacon,6,9.0,-0.5
Bacon,7,6.0,-0.6666666666666666
Bacon,8,8.0,-0.6111111111111112
Bacon,9,5.0,-0.638888888888889
Bacon,10,7.0,-0.5555555555555555
Barista_Milk,1,2.0,-0.5416666666666667
Barista_Milk,2,8.0,-0.2575757575757575
Barista_Milk,3,10.0,-0.5757575757575758
Barista_Milk,4,6.5,-0.4015151515151515
Barista_Milk,5,3.0,-0.6060606060606061
Barista_Milk,6,1.0,-0.6161616161616161
Barista_Milk,7,9.0,-0.5934343434343434
Barista_Milk,8,6.5,-0.6010101010101009
Barista_Milk,9,5.0,-0.8030303030303031
Barista_Milk,10,4.0,-0.5151515151515151
Bratwurst,1,6.0,-0.3333333333333333
Bratwurst,2,2.0,-0.7272727272727272
Bratwurst,3,5.0,-0.7272727272727272
Bratwurst,4,4.0,-0.7272727272727272
Bratwurst,5,8.0,-0.5454545454545455
Bratwurst,6,1.0,-0.4242424242424242
Bratwurst,7,3.0,-0.4848484848484848
Bratwurst,8,9.0,-0.6666666666666666
Bratwurst,9,7.0,-0.2727272727272727
Breaded_Chicken_Filet,1,3.0,-0.5714285714285714
Breaded_Chicken_Filet,2,1.0,-0.5714285714285715
Breaded_Chicken_Filet,3,4.0,-0.6190476190476191
Breaded_Chicken_Filet,4,2.0,-0.4761904761904761
Breaded_Chicken_Filet,5,5.0,-0.619047619047619
Breakfast_Sausages,1,1.0,-0.75
Breakfast_Sausages,2,7.0,-0.5555555555555555
Breakfast_Sausages,3,6.0,-0.5277777777777778
Breakfast_Sausages,4,10.0,-0.2499999999999999
Breakfast_Sausages,5,5.0,-0.3888888888888889
Breakfast_Sausages,6,9.0,-0.5277777777777778
Breakfast_Sausages,7,3.0,-0.7222222222222223
Breakfast_Sausages,8,2.0,-0.6944444444444443
Breakfast_Sausages,9,8.0,-0.4444444444444444
Breakfast_Sausages,10,4.0,-0.638888888888889
Burgers,1,2.0,-0.5416666666666666
Burgers,2,3.0,-0.3333333333333333
Burgers,3,8.0,-0.3333333333333333
Burgers,4,9.0,-0.5
Burgers,5,1.0,-0.875
Burgers,6,10.0,-0.75
Burgers,7,7.0,-0.6666666666666667
Burgers,8,6.0,-0.5
Burgers,9,5.0,-0.4166666666666666
Burgers,10,4.0,-0.5
Butter,1,2.0,-0.6944444444444443
Butter,2,4.0,-0.5
Butter,3,10.0,-0.5555555555555555
Butter,4,8.0,-0.5
Butter,5,9.0,-0.5277777777777778
Butter,6,7.0,-0.5000000000000001
Butter,7,5.0,-0.5833333333333334
Butter,8,6.0,-0.3888888888888888
Butter,9,1.0,-0.7777777777777778
Butter,10,3.0,-0.4722222222222222
Cheddar_Cheese,1,5.5,-0.3888888888888888
Cheddar_Cheese,2,1.0,-0.7777777777777778
Cheddar_Cheese,3,5.5,-0.6111111111111112
Cheddar_Cheese,4,4.0,-0.611111111111111
Cheddar_Cheese,5,2.0,-0.5833333333333334
Cheddar_Cheese,6,8.0,-0.4722222222222222
Cheddar_Cheese,7,3.0,-0.5277777777777778
Cheddar_Cheese,8,7.0,-0.7777777777777778
Chicken_Strips,1,2.0,-0.5757575757575758
Chicken_Strips,2,10.0,-0.5883838383838385
Chicken_Strips,3,5.0,-0.6237373737373737
Chicken_Strips,4,4.0,-0.5808080808080808
Chicken_Strips,5,7.0,-0.4166666666666666
Chicken_Strips,6,8.0,-0.51010101010101
Chicken_Strips,7,9.0,-0.4671717171717172
Chicken_Strips,8,3.0,-0.5732323232323232
Chicken_Strips,9,6.0,-0.6262626262626262
Chicken_Strips,10,1.0,-0.452020202020202
Cream_Cheese,1,2.0,-0.8333333333333334
Cream_Cheese,2,10.0,-0.5277777777777778
Cream_Cheese,3,4.0,-0.7222222222222222
Cream_Cheese,4,9.0,-0.4444444444444444
Cream_Cheese,5,8.0,-0.3611111111111111
Cream_Cheese,6,7.0,-0.3055555555555555
Cream_Cheese,7,1.0,-0.6388888888888888
Cream_Cheese,8,3.0,-0.5277777777777778
Cream_Cheese,9,5.0,-0.4444444444444444
Cream_Cheese,10,6.0,-0.6666666666666666
Creamer,1,1.0,-0.611111111111111
Creamer,2,4.0,-0.4444444444444445
Creamer,3,9.0,-0.6666666666666666
