category,product_code,true_rank,predicted_score
Bacon,1,3.0,2.386216613133488
Bacon,2,2.0,1.1257568771908483e-10
Bacon,3,1.0,5.063506814071866
Bacon,4,4.0,2.597807103530576
Bacon,5,10.0,3.159494085377429
Bacon,6,9.0,3.567135756347235
Bacon,7,6.0,5.653714147515297
Bacon,8,8.0,4.368332827531072
Bacon,9,5.0,4.209416073400259
Bacon,10,7.0,2.2732220287625147
Barista_Milk,1,2.0,1.2866154956539144
Barista_Milk,2,8.0,3.1747718540325525
Barista_Milk,3,10.0,5.370087234890477
Barista_Milk,4,6.5,3.703390148844925
Barista_Milk,5,3.0,2.9647601610835723
Barista_Milk,6,1.0,1.07992210249108
Barista_Milk,7,9.0,4.270856431969947
Barista_Milk,8,6.5,4.0062545518921056
Barista_Milk,9,5.0,3.399148470922996
Barista_Milk,10,4.0,0.3273344469621115
Bratwurst,1,6.0,3.973455013095293
Bratwurst,2,2.0,3.8960741839833206
Bratwurst,3,5.0,0.2437052680844631
Bratwurst,4,4.0,2.0288979591930665
Bratwurst,5,8.0,2.817153517871633
Bratwurst,6,1.0,1.4716197368230968
Bratwurst,7,3.0,1.6039738805012231
Bratwurst,8,9.0,5.82606107988166
Bratwurst,9,7.0,3.9283678076784345
Breaded_Chicken_Filet,1,3.0,3.985660141058177
Breaded_Chicken_Filet,2,1.0,3.613644678865047
Breaded_Chicken_Filet,3,4.0,0.8771712132571835
Breaded_Chicken_Filet,4,2.0,2.666457398101542
Breaded_Chicken_Filet,5,5.0,1.9238466791836275
Breakfast_Sausages,1,1.0,3.12442001226908
Breakfast_Sausages,2,7.0,4.204464681268554
Breakfast_Sausages,3,6.0,4.09371689814244
Breakfast_Sausages,4,10.0,5.71778555569085
Breakfast_Sausages,5,5.0,2.3111481514740005e-13
Breakfast_Sausages,6,9.0,1.38162637981535
Breakfast_Sausages,7,3.0,3.076130042365219
Breakfast_Sausages,8,2.0,3.579184014357483
Breakfast_Sausages,9,8.0,4.688179927925082
Breakfast_Sausages,10,4.0,1.7571444169017416
Burgers,1,2.0,0.9669478398740032
Burgers,2,3.0,2.902406543877814
Burgers,3,8.0,4.454740388922058
Burgers,4,9.0,6.057000261101816
Burgers,5,1.0,2.564400084586821e-07
Burgers,6,10.0,3.984280185199638
Burgers,7,7.0,1.824104025856505
Burgers,8,6.0,3.813962739375256
Burgers,9,5.0,4.325163141290588
Burgers,10,4.0,2.6896727112226846
Butter,1,2.0,1.1386183420486418
Butter,2,4.0,7.950653502343223e-11
Butter,3,10.0,4.4536710734185085
Butter,4,8.0,1.7649731099216064
Butter,5,9.0,4.445399763666443
Butter,6,7.0,2.35278870575691
Butter,7,5.0,4.191062419500642
Butter,8,6.0,3.904000306280409
Butter,9,1.0,2.0181528946748073
Butter,10,3.0,3.936485729793452
Cheddar_Cheese,1,5.5,5.181642204017858
Cheddar_Cheese,2,1.0,0.928651556585194
Cheddar_Cheese,3,5.5,2.250807169884903
Cheddar_Cheese,4,4.0,1.208644595410924
Cheddar_Cheese,5,2.0,1.6926508177946922
Cheddar_Cheese,6,8.0,5.012595689054777
Cheddar_Cheese,7,3.0,1.649300935402347
Cheddar_Cheese,8,7.0,2.7761652423245913
Chicken_Strips,1,2.0,3.3148226240095124
Chicken_Strips,2,10.0,3.244183448324478
Chicken_Strips,3,5.0,4.1326197936855555
Chicken_Strips,4,4.0,4.389978070782018
Chicken_Strips,5,7.0,2.2328632350467914
Chicken_Strips,6,8.0,2.768910613942076
Chicken_Strips,7,9.0,4.614453691298885
Chicken_Strips,8,3.0,2.3662340383516396
Chicken_Strips,9,6.0,1.293614640030603
Chicken_Strips,10,1.0,2.982636617134825
Cream_Cheese,1,2.0,1.1111552921748715
Cream_Cheese,2,10.0,2.9296061359330157
Cream_Cheese,3,4.0,2.723342643979575
Cream_Cheese,4,9.0,4.245679038763588
Cream_Cheese,5,8.0,5.085758367282274
Cream_Cheese,6,7.0,4.385724664713466
Cream_Cheese,7,1.0,1.3104163637435096
Cream_Cheese,8,3.0,1.2545017330928052
Cream_Cheese,9,5.0,3.465625425364979
Cream_Cheese,10,6.0,3.241924386715268
Creamer,1,1.0,0.7652501313838479
Creamer,2,4.0,2.2575535059226333
Creamer,3,9.0,3.808554839239102
Creamer,4,8.0,5.438005969955853
Creamer,5,2.0,1.1013956661231509e-15
Creamer,6,5.0,4.788047945561802
Creamer,7,6.0,3.6480205210886063
Creamer,8,7.0,4.145370369399115
Creamer,9,3.0,1.560305089666755
Deli_Ham,1,8.0,3.3340911397006447
Deli_Ham,2,3.5,0.9925522960683936
Deli_Ham,3,3.5,4.859408173729383
Deli_Ham,4,5.0,3.6373670151461326
Deli_Ham,5,6.0,5.280272651486966
Deli_Ham,6,9.0,2.136004343487695
Deli_Ham,7,1.0,0.530986579119295
Deli_Ham,8,2.0,3.4589752630448265
Deli_Ham,9,7.0,1.7400060319548625
Deli_Turkey,1,7.0,4.469014296433042
Deli_Turkey,2,3.0,3.2958673493298027
Deli_Turkey,3,6.0,2.080201295251198
Deli_Turkey,4,5.0,3.5701504029635727
