category,product_code,true_rank,predicted_score
Bacon,1,3.0,5.03582453590572
Bacon,2,2.0,0.6628235014561548
Bacon,3,1.0,3.7453079583853426
Bacon,4,4.0,2.647803410181552
Bacon,5,10.0,3.487866121320383
Bacon,6,9.0,2.808135923858028
Bacon,7,6.0,3.11771344629288
Bacon,8,8.0,2.650202963555127
Bacon,9,5.0,2.37760774269812
Bacon,10,7.0,2.0961910698835347
Barista_Milk,1,2.0,4.046683975503718
Barista_Milk,2,8.0,3.2350774532264435
Barista_Milk,3,10.0,5.654226304132882
Barista_Milk,4,6.5,3.9454219704863984
Barista_Milk,5,3.0,4.073263072229398
Barista_Milk,6,1.0,3.7754135041630312
Barista_Milk,7,9.0,5.459432731021312
Barista_Milk,8,6.5,3.369497548267294
Barista_Milk,9,5.0,3.686904953470342
Barista_Milk,10,4.0,3.7529550641345506
Bratwurst,1,6.0,3.2430846981151045
Bratwurst,2,2.0,2.904530056989669
Bratwurst,3,5.0,2.968107292731071
Bratwurst,4,4.0,2.216923559067784
Bratwurst,5,8.0,2.8038741673673444
Bratwurst,6,1.0,4.179954543768254
Bratwurst,7,3.0,2.4117362032528
Bratwurst,8,9.0,5.416463191235572
Bratwurst,9,7.0,3.990058280635846
Breaded_Chicken_Filet,1,3.0,3.272760459354416
Breaded_Chicken_Filet,2,1.0,2.767169253467212
Breaded_Chicken_Filet,3,4.0,3.5493018054160976
Breaded_Chicken_Filet,4,2.0,4.294288932816671
Breaded_Chicken_Filet,5,5.0,3.9218795664508375
Breakfast_Sausages,1,1.0,3.355179032874775
Breakfast_Sausages,2,7.0,4.329741449391653
Breakfast_Sausages,3,6.0,3.9169746213026495
Breakfast_Sausages,4,10.0,3.9097159184963095
Breakfast_Sausages,5,5.0,1.9614627046746196
Breakfast_Sausages,6,9.0,4.295732926254043
Breakfast_Sausages,7,3.0,4.366056313763865
Breakfast_Sausages,8,2.0,2.0850086368894356
Breakfast_Sausages,9,8.0,3.0916420212440725
Breakfast_Sausages,10,4.0,1.964308714832187
Burgers,1,2.0,3.0171377412616387
Burgers,2,3.0,2.6807129202366973
Burgers,3,8.0,3.566334078979333
Burgers,4,9.0,5.731829378502366
Burgers,5,1.0,3.2581390520764364
Burgers,6,10.0,3.5913741842403417
Burgers,7,7.0,4.628546213938075
Burgers,8,6.0,3.6707275029816024
Burgers,9,5.0,3.8806802673743137
Burgers,10,4.0,2.89864528836483
Butter,1,2.0,4.524154652262049
Butter,2,4.0,2.9654448919712135
Butter,3,10.0,5.929831330518271
Butter,4,8.0,4.599775385271854
Butter,5,9.0,4.164981292880195
Butter,6,7.0,4.21126747485336
Butter,7,5.0,2.880139886200851
Butter,8,6.0,5.374075034854026
Butter,9,1.0,3.919916224808349
Butter,10,3.0,5.642025175812454
Cheddar_Cheese,1,5.5,4.896260827075414
Cheddar_Cheese,2,1.0,4.459574800166947
Cheddar_Cheese,3,5.5,3.3244659670676766
Cheddar_Cheese,4,4.0,5.875390783908941
Cheddar_Cheese,5,2.0,4.164873347314578
Cheddar_Cheese,6,8.0,4.845259260479004
Cheddar_Cheese,7,3.0,4.7537818874731075
Cheddar_Cheese,8,7.0,3.3442089646889337
Chicken_Strips,1,2.0,2.5757067577060138
Chicken_Strips,2,10.0,3.104444668575809
Chicken_Strips,3,5.0,2.288707795111119
Chicken_Strips,4,4.0,3.9214686744289273
Chicken_Strips,5,7.0,3.6951179504704927
Chicken_Strips,6,8.0,3.603028214015021
Chicken_Strips,7,9.0,3.0223562702260462
Chicken_Strips,8,3.0,2.393821839124149
Chicken_Strips,9,6.0,3.384423918852451
Chicken_Strips,10,1.0,4.220683364653174
Cream_Cheese,1,2.0,3.288171101344501
Cream_Cheese,2,10.0,6.147989632585475
Cream_Cheese,3,4.0,3.29599098640469
Cream_Cheese,4,9.0,3.8536490985807506
Cream_Cheese,5,8.0,3.6448312597180976
Cream_Cheese,6,7.0,4.668623896463119
Cream_Cheese,7,1.0,2.1040521115849913
Cream_Cheese,8,3.0,3.889516319555001
Cream_Cheese,9,5.0,2.6641116122498727
Cream_Cheese,10,6.0,4.517459382739761
Creamer,1,1.0,4.4343969967247165
Creamer,2,4.0,3.746485140879608
Creamer,3,9.0,3.7897180588079378
Creamer,4,8.0,4.993088038502293
Creamer,5,2.0,0.6993154682933294
Creamer,6,5.0,5.883631872919121
Creamer,7,6.0,4.13677371746613
Creamer,8,7.0,5.4771544966567705
Creamer,9,3.0,5.266276500238969
Deli_Ham,1,8.0,3.876952155412248
Deli_Ham,2,3.5,2.9156520287220076
Deli_Ham,3,3.5,3.327458427007625
Deli_Ham,4,5.0,3.087326051748527
Deli_Ham,5,6.0,4.318673880588698
Deli_Ham,6,9.0,3.6073357625013887
Deli_Ham,7,1.0,3.1027524466288945
Deli_Ham,8,2.0,3.3586358181185583
Deli_Ham,9,7.0,2.266232198329554
Deli_Turkey,1,7.0,3.7020437793821177
Deli_Turkey,2,3.0,4.155949311496301
Deli_Turkey,3,6.0,3.846018852176759
Deli_Turkey,4,5.0,4.74706710228255
Deli_Turkey,5,2.0,3.3163451741855785
Deli_Turkey,6,1.0,2.335051311929855
Deli_Turkey,7,4.0,2.9516061748732243
Hot_Dogs,1,4.0,2.3050579694567483
Hot_Dogs,2,5.0,2.705780803919027
Hot_Dogs,3,8.0,3.181209101230637
Hot_Dogs,4,6.0,4.167820144267363
Hot_Dogs,5,10.0,3.809563348081557
Hot_Dogs,6,7.0,3.195186849856788
Hot_Dogs,7,2.0,3.2476377851334157
Hot_Dogs,8,1.0,2.640402890169759
Hot_Dogs,9,3.0,2.474791747377702
Hot_Dogs,10,9.0,3.4074193341281087
Ice_Cream_Hard_Serve,1,10.0,5.200419180504753
Ice_Cream_Hard_Serve,2,8.0,3.923361199227149
Ice_Cream_Hard_Serve,3,3.0,3.926532499829339
Ice_Cream_Hard_Serve,4,7.0,3.1931192230012573
Ice_Cream_Hard_Serve,5,6.0,5.309115729160654
Ice_Cream_Hard_Serve,6,1.0,4.407697007805097
Ice_Cream_Hard_Serve,7,9.0,4.8856885600024995
Ice_Cream_Hard_Serve,8,5.0,3.5131953964665974
Ice_Cream_Hard_Serve,9,2.0,2.3010864711683707
Ice_Cream_Hard_Serve,10,4.0,4.558162614042647
Meatballs,1,1.0,4.225964424921671
Meatballs,2,3.0,2.9936156413987303
Meatballs,3,5.0,2.906457271463432
Meatballs,4,4.0,2.9753018966593516
Meatballs,5,2.0,3.625766313469619
Milk,1,13.0,5.313657580988036
Milk,2,11.0,3.451789729299471
Milk,3,9.0,4.456516601629558
Milk,4,6.0,4.290114832921053
Milk,5,10.0,2.810856328153592
Milk,6,5.0,3.662556005138733
Milk,7,2.0,4.369024681162841
Milk,8,4.0,2.100672615609827
Milk,9,1.0,2.643114789389145
Milk,10,17.0,3.7465561097480022
Milk,11,15.0,3.798714918092735
Milk,12,3.0,2.384668176104782
Milk,13,7.0,3.4801730479097457
Milk,14,8.0,4.556648710654238
Milk,15,18.0,3.5134770766936647
Milk,16,16.0,3.635371228453937
Milk,17,12.0,4.686530379901072
Milk,18,14.0,3.381787788738765
Mozzarella,1,4.0,4.378399366084147
Mozzarella,2,2.0,3.635442619529175
Mozzarella,3,3.0,3.886803383464528
Mozzarella,4,1.0,4.292174366843501
Mozzarella,5,5.0,4.099058031928794
Mozzarella,6,7.0,3.607603957707211
Mozzarella,7,8.0,3.028322685457581
Mozzarella,8,6.0,3.0781444055859617
Nuggets,1,1.0,4.543500905104647
Nuggets,2,6.0,3.0775559757285795
Nuggets,3,10.0,4.13264407857762
Nuggets,4,7.0,5.594260420792537
Nuggets,5,5.0,2.8829823311631695
Nuggets,6,3.0,4.292716879976521
Nuggets,7,2.0,4.786113365144544
Nuggets,8,8.0,3.781704724555799
Nuggets,9,4.0,3.8565069463270696
Nuggets,10,9.0,2.775354804596212
Pulled_Pork,1,3.0,3.53463790038171
Pulled_Pork,2,7.0,3.825981807911195
Pulled_Pork,3,4.0,3.6576772544415057
Pulled_Pork,4,5.0,4.089864566425465
Pulled_Pork,5,2.0,4.353133819909567
Pulled_Pork,6,6.0,-3.3531384804550077
Pulled_Pork,7,1.0,3.328938517628188
Sour_Cream,1,2.0,3.859527897711674
Sour_Cream,2,4.0,2.85035648156467
Sour_Cream,3,5.0,5.556927677665668
Sour_Cream,4,3.0,4.023573729438033
Sour_Cream,5,1.0,2.755898137593893
Steak,1,7.0,4.140821568655448
Steak,2,4.0,1.8471345824821983
Steak,3,9.0,4.06375902390852
Steak,4,2.0,3.5264988905615446
Steak,5,6.0,1.5453764595269868
Steak,6,5.0,2.4745849311496286
Steak,7,1.0,3.5972378564540777
Steak,8,3.0,2.6853039758255974
Steak,9,8.0,2.5754871630983542
Unbreaded_Chicken_Breast,1,10.0,4.661566966281573
Unbreaded_Chicken_Breast,2,5.0,2.051972785725249
Unbreaded_Chicken_Breast,3,1.0,2.356041241137223
Unbreaded_Chicken_Breast,4,4.0,3.203238223644185
Unbreaded_Chicken_Breast,5,6.0,2.5705074568912973
Unbreaded_Chicken_Breast,6,7.0,1.0671298153213309
Unbreaded_Chicken_Breast,7,9.0,6.215509444709552
Unbreaded_Chicken_Breast,8,3.0,3.31334353193994
Unbreaded_Chicken_Breast,9,8.0,4.586516133485609
Unbreaded_Chicken_Breast,10,2.0,4.128724950690323
Yogurt,1,1.0,4.581288948866636
Yogurt,2,6.0,2.49257920564502
Yogurt,3,2.0,4.616071971378431
Yogurt,4,3.0,2.8584290906145458
Yogurt,5,5.0,3.654860675381635
Yogurt,6,4.0,3.9302365379441793
