group,model,fart,fart_lo,fart_hi,gnn,gnn_lo,gnn_hi,chemberta,chemberta_lo,chemberta_hi,delta_gnn,delta_chemberta
Unsupervised,MMRF (cosine),0.574331550802139,0.5278074866310161,0.6352941176470588,0.5663101604278075,0.5181818181818182,0.623954885691607,0.5727272727272728,0.5262032085561498,0.6325934692905666,-0.008021390374331583,-0.0016042780748662944
Unsupervised,MMRF (L2),0.5705882352941176,0.5235294117647059,0.6322568921688526,0.5625668449197861,0.5181818181818182,0.6185081806588272,0.5684491978609626,0.5221878494253949,0.627807486631016,-0.008021390374331472,-0.002139037433155022
Supervised -- linear,Ridge,0.5791443850267379,0.5342245989304812,0.631776978030264,0.5609625668449197,0.5128342245989305,0.6144385026737967,0.5983957219251337,0.5540106951871657,0.6550802139037433,-0.018181818181818188,0.019251336898395754
Supervised -- pairwise,Bradley--Terry,0.6101604278074866,0.5705882352941176,0.6609625668449198,0.6165775401069519,0.5780748663101605,0.6705948486163152,0.6401069518716578,0.6037433155080214,0.6934436947081694,0.0064171122994652885,0.0299465240641712
Supervised -- pairwise,Hierarchical BT,0.6133689839572193,0.5700534759358289,0.6700534759358289,0.6304812834224599,0.5877005347593582,0.6887700534759358,0.6390374331550802,0.5994652406417113,0.6978609625668449,0.01711229946524062,0.025668449197860932
Supervised -- pairwise,Kernel RankSVM,0.6176470588235294,0.5791443850267379,0.674331550802139,0.6272727272727273,0.5893048128342246,0.6824556756581662,0.6101604278074866,0.5700534759358289,0.6644541292869272,0.009625668449197877,-0.007486631016042855
Supervised -- nonlinear,LightGBM,0.5577540106951872,0.5085561497326203,0.6149732620320856,0.5149732620320856,0.4593582887700534,0.5705882352941176,0.5352941176470588,0.4828877005347594,0.5919786096256684,-0.04278074866310155,-0.022459893048128343
Ensemble (BT + Gemini),NNLS,0.6828877005347593,0.6540106951871658,0.7399617747439049,0.6732620320855615,0.6411764705882353,0.7300942811899477,0.6839572192513369,0.6550802139037433,0.7374331550802139,-0.009625668449197877,0.0010695187165775666
Ensemble (BT + Gemini),Rank average,0.6705882352941176,0.6406417112299465,0.7251336898395722,0.6705882352941176,0.6390374331550802,0.7254776190881138,0.6850267379679145,0.6561497326203208,0.7427139895715854,0.0,0.014438502673796871
Ensemble (BT + Gemini),Mean,0.6229946524064172,0.5866310160427808,0.6746131753866496,0.6347593582887701,0.5989304812834224,0.6914438502673796,0.6411764705882353,0.6058823529411764,0.694842295088736,0.0117647058823529,0.018181818181818188
