model,class,support,precision_point,precision_ci_lo,precision_ci_hi,recall_point,recall_ci_lo,recall_ci_hi,f1_point,f1_ci_lo,f1_ci_hi,auroc_point,auroc_ci_lo,auroc_ci_hi
FART,sweet,1473,0.9443,0.9319,0.9553,0.9430,0.9302,0.9537,0.9436,0.9346,0.9516,0.9790,0.9734,0.9831
FART,bitter,233,0.8557,0.8000,0.9006,0.7124,0.6514,0.7692,0.7775,0.7299,0.8192,0.9513,0.9324,0.9649
FART,sour,238,0.8971,0.8535,0.9307,0.9160,0.8766,0.9477,0.9064,0.8757,0.9303,0.9949,0.9921,0.9968
FART,umami,6,1.0000,0.0000,1.0000,0.3333,0.0000,0.8000,0.5000,0.0000,0.9148,0.9887,0.9756,0.9993
FART,undefined,304,0.6977,0.6478,0.7443,0.7895,0.7403,0.8322,0.7407,0.7020,0.7776,0.9581,0.9453,0.9672
GNN,sweet,1473,0.9448,0.9321,0.9554,0.9532,0.9413,0.9627,0.9490,0.9404,0.9566,0.9807,0.9748,0.9849
GNN,bitter,233,0.8693,0.8169,0.9105,0.7425,0.6829,0.7956,0.8009,0.7565,0.8387,0.9578,0.9394,0.9700
GNN,sour,238,0.9061,0.8655,0.9385,0.9328,0.8952,0.9595,0.9193,0.8911,0.9419,0.9958,0.9928,0.9974
GNN,umami,6,0.6667,0.0000,1.0000,0.6667,0.0000,1.0000,0.6667,0.0000,0.8889,0.9880,0.9288,1.0000
GNN,undefined,304,0.7358,0.6858,0.7819,0.7697,0.7204,0.8143,0.7524,0.7121,0.7881,0.9662,0.9579,0.9728
